mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_p	param_n_neighbors	param_leaf_size	param_algorithm	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.02559981346130371	0.009163561233243892	10.246084785461425	3.9136740088296103	3	8	50	kd_tree	{'p': 3, 'n_neighbors': 8, 'leaf_size': 50, 'algorithm': 'kd_tree'}	0.6612849235534668	0.6546225547790527	0.650733470916748	0.6567100882530212	0.6334749460220337	0.6513651967048645	0.009571200290473682	1
0.006980419158935547	0.0035267573094948748	47.4881103515625	4.532337961458814	3	8	40	brute	{'p': 3, 'n_neighbors': 8, 'leaf_size': 40, 'algorithm': 'brute'}	0.6612849235534668	0.6546225547790527	0.650733470916748	0.6567100882530212	0.6334749460220337	0.6513651967048645	0.009571200290473682	1
0.004008865356445313	0.000969179337576775	23.82010226249695	5.843881978153895	3	8	40	auto	{'p': 3, 'n_neighbors': 8, 'leaf_size': 40, 'algorithm': 'auto'}	0.6612849235534668	0.6546225547790527	0.650733470916748	0.6567100882530212	0.6334749460220337	0.6513651967048645	0.009571200290473682	1
0.04024314880371094	0.009437177409793576	11.534139966964721	2.7272094900532573	3	8	40	kd_tree	{'p': 3, 'n_neighbors': 8, 'leaf_size': 40, 'algorithm': 'kd_tree'}	0.6612849235534668	0.6546225547790527	0.650733470916748	0.6567100882530212	0.6334749460220337	0.6513651967048645	0.009571200290473682	1
0.002917623519897461	0.0010743791287083765	14.488183212280273	2.0357681693385876	3	8	20	auto	{'p': 3, 'n_neighbors': 8, 'leaf_size': 20, 'algorithm': 'auto'}	0.6612849235534668	0.6546225547790527	0.650733470916748	0.6567100882530212	0.6334749460220337	0.6513651967048645	0.009571200290473682	1
0.004424905776977539	0.0002700911317121953	26.533816242218016	0.3538503913583558	3	8	50	auto	{'p': 3, 'n_neighbors': 8, 'leaf_size': 50, 'algorithm': 'auto'}	0.6612849235534668	0.6546225547790527	0.650733470916748	0.6567100882530212	0.6334749460220337	0.6513651967048645	0.009571200290473682	1
0.3785715103149414	0.12323504400725703	39.13522634506226	5.920495797629361	3	8	30	ball_tree	{'p': 3, 'n_neighbors': 8, 'leaf_size': 30, 'algorithm': 'ball_tree'}	0.6612849235534668	0.6546225547790527	0.650733470916748	0.6567100882530212	0.6334749460220337	0.6513651967048645	0.009571200290473682	1
0.12861027717590331	0.0010421083337698212	12.308244943618774	1.1319578748626242	3	8	40	ball_tree	{'p': 3, 'n_neighbors': 8, 'leaf_size': 40, 'algorithm': 'ball_tree'}	0.6612849235534668	0.6546225547790527	0.650733470916748	0.6567100882530212	0.6334749460220337	0.6513651967048645	0.009571200290473682	1
0.03625082969665527	0.011942033934797097	9.93954029083252	3.3371289610954955	3	7	30	kd_tree	{'p': 3, 'n_neighbors': 7, 'leaf_size': 30, 'algorithm': 'kd_tree'}	0.6539118885993958	0.6656535267829895	0.6486606001853943	0.6245308518409729	0.647819459438324	0.6481152653694153	0.01340000676844739	9
0.19739160537719727	0.07079031555068482	21.188964319229125	7.705393680045411	3	7	50	ball_tree	{'p': 3, 'n_neighbors': 7, 'leaf_size': 50, 'algorithm': 'ball_tree'}	0.6539118885993958	0.6656535267829895	0.6486606001853943	0.6245308518409729	0.647819459438324	0.6481152653694153	0.01340000676844739	9
