mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_alpha	param_class_weight	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.04924230575561524	0.0076293706199152085	0.0038152694702148437	0.0015541325683850551	1	balanced	{'alpha': 1, 'class_weight': 'balanced'}	0.6813005805015564	0.6726011037826538	0.6531982421875	0.7088330388069153	0.6530806422233582	0.6738027215003968	0.020682040724530542	1
0.03710174560546875	0.0013532411134541606	0.004892778396606445	0.002244948041367783	4		{'alpha': 4, 'class_weight': None}	0.7022441625595093	0.6770673990249634	0.6642886400222778	0.676207423210144	0.6484043598175049	0.6736423969268799	0.017668176373775265	2
0.04391083717346191	0.005071489085551586	0.005388593673706055	0.0030808766826445847	4	balanced	{'alpha': 4, 'class_weight': 'balanced'}	0.6724479794502258	0.6801904439926147	0.6607667803764343	0.7001591920852661	0.6541786193847656	0.6735486030578614	0.016074950265982924	3
0.05737471580505371	0.010070727505652128	0.00516357421875	0.0013400566169414294	1		{'alpha': 1, 'class_weight': None}	0.6997566223144531	0.6711702942848206	0.6697375774383545	0.6704922318458557	0.6433191895484924	0.6708951830863953	0.017860549827076785	4
0.038502168655395505	0.0030386498598226333	0.004280519485473633	0.0018750116156908065	16		{'alpha': 16, 'class_weight': None}	0.6851639747619629	0.6829645037651062	0.6640899777412415	0.6704922318458557	0.6372063159942627	0.6679834008216858	0.017252753363937362	5
0.04275093078613281	0.002814410157768314	0.00413045883178711	0.001603051152065761	16	balanced	{'alpha': 16, 'class_weight': 'balanced'}	0.6560527086257935	0.665488064289093	0.6582368016242981	0.6889559030532837	0.656683087348938	0.6650833129882813	0.012402053893028977	6
0.032750606536865234	0.005114357122644241	0.0038552284240722656	0.001487501482660202	64		{'alpha': 64, 'class_weight': None}	0.6702651381492615	0.6648399233818054	0.649450421333313	0.6647770404815674	0.6283876299858093	0.6555440306663514	0.015251067305433647	7
0.045593786239624026	0.005159497992096262	0.006936407089233399	0.0013983671055173735	64	balanced	{'alpha': 64, 'class_weight': 'balanced'}	0.6624187231063843	0.6648311018943787	0.62917160987854	0.6833542585372925	0.6371665596961975	0.6553884506225586	0.019697892547637	8
0.03516883850097656	0.010391713139856863	0.005308341979980469	0.003536725096887375	256		{'alpha': 256, 'class_weight': None}	0.6639372706413269	0.6344549655914307	0.6339351534843445	0.6503793597221375	0.6039724349975586	0.6373358368873596	0.0200536800532955	9
0.03732280731201172	0.012654301483419289	0.006810188293457031	0.0022864615654522775	256	balanced	{'alpha': 256, 'class_weight': 'balanced'}	0.6443700790405273	0.645024836063385	0.6209615468978882	0.6559172868728638	0.6031423807144165	0.6338832259178162	0.01913937699998273	10
0.04204821586608887	0.014306879059551176	0.00296478271484375	0.0007880579012928224	1024	balanced	{'alpha': 1024, 'class_weight': 'balanced'}	0.6354883909225464	0.607817530632019	0.6367849707603455	0.6416282057762146	0.6038551330566406	0.6251148462295533	0.015922724708128635	11
0.037063217163085936	0.009583031459781493	0.005290985107421875	0.003751201151227955	1024		{'alpha': 1024, 'class_weight': None}	0.6153132915496826	0.5950605869293213	0.6168792247772217	0.6044963598251343	0.5632019639015198	0.598990285396576	0.01956025574029462	12
