mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_C	param_loss	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.08190574645996093	0.02825890679506243	0.10944571495056152	0.03355293539262227	1	squared_hinge	{'C': 1, 'loss': 'squared_hinge'}	0.7070062160491943	0.6535040736198425	0.6327587366104126	0.6696396470069885	0.6678428649902344	0.6661503076553345	0.024327637543579497	1
0.10345969200134278	0.055593744486836225	0.14086627960205078	0.04502191945294206	64	squared_hinge	{'C': 64, 'loss': 'squared_hinge'}	0.627061665058136	0.693630039691925	0.6399281024932861	0.6954575181007385	0.6281673312187195	0.6568489313125611	0.031111743024719845	2
0.05252056121826172	0.027590226416816438	0.10203666687011718	0.0722419698589633	1	hinge	{'C': 1, 'loss': 'hinge'}	0.6721935868263245	0.6611285209655762	0.6177942156791687	0.6731025576591492	0.6000953316688538	0.6448628425598144	0.030152492360096962	3
0.12547802925109863	0.05812300022000758	0.1302807331085205	0.08232140109351624	16	hinge	{'C': 16, 'loss': 'hinge'}	0.5870162844657898	0.6702658534049988	0.6525012850761414	0.7223865389823914	0.5784405469894409	0.6421221017837524	0.05372926502987219	4
0.09357800483703613	0.07759623853432719	0.08045387268066406	0.034011180181042884	16	squared_hinge	{'C': 16, 'loss': 'squared_hinge'}	0.6805990934371948	0.6514156460762024	0.6052790880203247	0.5116995573043823	0.6556826829910278	0.6209352135658264	0.05978923786894236	5
0.04471435546875	0.01837463557405868	0.0895601749420166	0.026038794036918656	256	squared_hinge	{'C': 256, 'loss': 'squared_hinge'}	0.6677520275115967	0.5350913405418396	0.5037647485733032	0.6780312061309814	0.5893559455871582	0.5947990536689758	0.06947173631435366	6
0.1088348388671875	0.06266540186168527	0.11356534957885742	0.04488990044545165	4	hinge	{'C': 4, 'loss': 'hinge'}	0.4998588263988495	0.6260108351707458	0.5912702083587646	0.5775893330574036	0.673168420791626	0.5935795247554779	0.05732498711856756	7
0.05767502784729004	0.03799269684565606	0.10261883735656738	0.041912818942508444	64	hinge	{'C': 64, 'loss': 'hinge'}	0.6803266406059265	0.5668015480041504	0.5952503681182861	0.4290580749511719	0.599414587020874	0.5741702437400817	0.08180790709275917	8
0.07302684783935547	0.03951699119288718	0.15586433410644532	0.06783548529015695	4	squared_hinge	{'C': 4, 'loss': 'squared_hinge'}	0.6580846905708313	0.6536419987678528	0.5720529556274414	0.37505096197128296	0.506597101688385	0.5530855417251587	0.10521755722941607	9
0.10460939407348632	0.07038012221073013	0.1941152572631836	0.08221048762396	256	hinge	{'C': 256, 'loss': 'hinge'}	0.6705963611602783	0.5745415687561035	0.6735624074935913	0.6001238226890564	0.1577383279800415	0.5353124976158142	0.19272594157152445	10
0.06984615325927734	0.05231823640781846	0.1248812198638916	0.047947758527538686	1024	hinge	{'C': 1024, 'loss': 'hinge'}	0.4769783616065979	0.3404236137866974	0.41633328795433044	0.4018498361110687	0.6320319175720215	0.45352340340614317	0.09925749276520669	11
0.06084208488464356	0.029873018306299497	0.03636465072631836	0.018188571273758936	1024	squared_hinge	{'C': 1024, 'loss': 'squared_hinge'}	0.7074118256568909	0.5957456827163696	0.3099745213985443	0.17528946697711945	0.32900530099868774	0.4234853595495224	0.19682492221519296	12
