mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_solver	param_power_t	param_momentum	param_learning_rate_init	param_learning_rate	param_hidden_layer_sizes	param_epsilon	param_beta_2	param_beta_1	param_activation	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
6.694096803665161	1.7984081150553324	0.001100301742553711	0.0002813628149553229	adam	0.5	1.0	0.0001	invscaling	[64, 16]	1e-08	0.999	0.8	tanh	{'solver': 'adam', 'power_t': 0.5, 'momentum': 1.0, 'learning_rate_init': 0.0001, 'learning_rate': 'invscaling', 'hidden_layer_sizes': [64, 16], 'epsilon': 1e-08, 'beta_2': 0.999, 'beta_1': 0.8, 'activation': 'tanh'}	0.7192035913467407	0.7059680223464966	0.6875155568122864	0.6990682482719421	0.6860335469245911	0.6995577931404113	0.012289904566799119	1
10.331505680084229	3.914382600933796	0.000794076919555664	3.568628393669653e-05	adam	0.4	0.7	0.0001	adaptive	[64, 16]	1e-07	0.999	0.8	relu	{'solver': 'adam', 'power_t': 0.4, 'momentum': 0.7, 'learning_rate_init': 0.0001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': [64, 16], 'epsilon': 1e-07, 'beta_2': 0.999, 'beta_1': 0.8, 'activation': 'relu'}	0.7040380835533142	0.6924744248390198	0.6931657195091248	0.7133626341819763	0.6909005641937256	0.6987882852554321	0.008644839515894811	2
3.5021692752838134	0.6637392917759719	0.000834798812866211	2.1448451286218165e-05	sgd	0.4	0.9	0.01	adaptive	[32, 32]	1e-08	0.8	0.999	relu	{'solver': 'sgd', 'power_t': 0.4, 'momentum': 0.9, 'learning_rate_init': 0.01, 'learning_rate': 'adaptive', 'hidden_layer_sizes': [32, 32], 'epsilon': 1e-08, 'beta_2': 0.8, 'beta_1': 0.999, 'activation': 'relu'}	0.6989952921867371	0.7052587866783142	0.6967088580131531	0.6905140280723572	0.7023404240608215	0.6987634778022767	0.005046032167254187	3
4.097695255279541	0.6949215426252804	0.00126495361328125	4.233862878639712e-05	adam	0.6	0.9	0.0001	invscaling	[64, 32]	1e-07	0.8	0.9	identity	{'solver': 'adam', 'power_t': 0.6, 'momentum': 0.9, 'learning_rate_init': 0.0001, 'learning_rate': 'invscaling', 'hidden_layer_sizes': [64, 32], 'epsilon': 1e-07, 'beta_2': 0.8, 'beta_1': 0.9, 'activation': 'identity'}	0.7170870304107666	0.7056018710136414	0.6813851594924927	0.6966372132301331	0.6846367716789246	0.6970696091651917	0.013223169221584636	4
10.74371829032898	2.6669588462029137	0.0012357711791992187	0.00022112627995299832	adam	0.5	1.0	0.0001	invscaling	[64, 16]	1e-07	0.8	0.8	relu	{'solver': 'adam', 'power_t': 0.5, 'momentum': 1.0, 'learning_rate_init': 0.0001, 'learning_rate': 'invscaling', 'hidden_layer_sizes': [64, 16], 'epsilon': 1e-07, 'beta_2': 0.8, 'beta_1': 0.8, 'activation': 'relu'}	0.7040380835533142	0.6916131377220154	0.6914278268814087	0.7019250988960266	0.6938883066177368	0.6965784907341004	0.005341402495667667	5
102.00639452934266	2.2116568388629587	0.002581071853637695	0.0003158004841026429	lbfgs	0.5	0.7	0.0001	adaptive	[64, 32, 32]	1e-08	0.999	0.9	identity	{'solver': 'lbfgs', 'power_t': 0.5, 'momentum': 0.7, 'learning_rate_init': 0.0001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': [64, 32, 32], 'epsilon': 1e-08, 'beta_2': 0.999, 'beta_1': 0.9, 'activation': 'identity'}	0.7168329954147339	0.7045311331748962	0.7021132111549377	0.6907106637954712	0.6643691658973694	0.6957114338874817	0.017732657292854916	6
81.81133003234864	7.997430055239984	0.002445697784423828	0.0005513991997366101	lbfgs	0.5	1.0	0.0001	adaptive	[64, 32, 32]	1e-07	0.999	0.8	identity	{'solver': 'lbfgs', 'power_t': 0.5, 'momentum': 1.0, 'learning_rate_init': 0.0001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': [64, 32, 32], 'epsilon': 1e-07, 'beta_2': 0.999, 'beta_1': 0.8, 'activation': 'identity'}	0.7168329954147339	0.7045311331748962	0.7021132111549377	0.6907106637954712	0.6643691658973694	0.6957114338874817	0.017732657292854916	6
88.2268280029297	21.125501182650815	0.0020906925201416016	0.0001876974851441781	lbfgs	0.6	1.0	0.0001	invscaling	[64, 64, 32]	1e-09	0.999	0.999	identity	{'solver': 'lbfgs', 'power_t': 0.6, 'momentum': 1.0, 'learning_rate_init': 0.0001, 'learning_rate': 'invscaling', 'hidden_layer_sizes': [64, 64, 32], 'epsilon': 1e-09, 'beta_2': 0.999, 'beta_1': 0.999, 'activation': 'identity'}	0.7082862257957458	0.7103276252746582	0.6964981555938721	0.6936084032058716	0.6617000699043274	0.6940840959548951	0.017437498946547614	8
74.22199287414551	13.536517983972491	0.00239410400390625	0.0004907508466209469	lbfgs	0.5	0.9	0.001	constant	[64, 32, 16]	1e-07	0.999	0.999	identity	{'solver': 'lbfgs', 'power_t': 0.5, 'momentum': 0.9, 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'hidden_layer_sizes': [64, 32, 16], 'epsilon': 1e-07, 'beta_2': 0.999, 'beta_1': 0.999, 'activation': 'identity'}	0.7082862257957458	0.7072036266326904	0.6993007063865662	0.6935104131698608	0.6617000699043274	0.6940002083778382	0.01702970740307411	9
70.54016404151916	17.156947068164943	0.0022010326385498045	0.0007717132244260954	lbfgs	0.4	0.7	0.0001	invscaling	[64, 64, 16]	1e-07	0.999	0.999	identity	{'solver': 'lbfgs', 'power_t': 0.4, 'momentum': 0.7, 'learning_rate_init': 0.0001, 'learning_rate': 'invscaling', 'hidden_layer_sizes': [64, 64, 16], 'epsilon': 1e-07, 'beta_2': 0.999, 'beta_1': 0.999, 'activation': 'identity'}	0.7170870304107666	0.7050029039382935	0.6964981555938721	0.6850189566612244	0.6643691658973694	0.6935952425003051	0.017989674680421307	10
12.701625728607178	2.9523768697608133	0.006917238235473633	0.004832235372049704	adam	0.4	0.8	0.001	constant	[64, 16, 16]	1e-09	0.9	0.9	logistic	{'solver': 'adam', 'power_t': 0.4, 'momentum': 0.8, 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'hidden_layer_sizes': [64, 16, 16], 'epsilon': 1e-09, 'beta_2': 0.9, 'beta_1': 0.9, 'activation': 'logistic'}	0.7100946307182312	0.7149221897125244	0.6805089712142944	0.6829853057861328	0.6785005927085876	0.6934023380279541	0.015738819103514514	11
