mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_lambda_2	param_lambda_1	param_alpha_2	param_alpha_1	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
1.3361385345458985	0.3703191665937128	0.04648270606994629	0.03484161358770078	1e-05	1e-06	1e-07	0.0001	{'lambda_2': 1e-05, 'lambda_1': 1e-06, 'alpha_2': 1e-07, 'alpha_1': 0.0001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.8947449207305906	0.8517862190551545	0.1076124668121338	0.0830267901218756	1e-05	0.0001	0.001	1e-07	{'lambda_2': 1e-05, 'lambda_1': 0.0001, 'alpha_2': 0.001, 'alpha_1': 1e-07}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.5221843242645265	0.8619921382884627	0.0417365550994873	0.0388046540306052	0.0001	1e-06	1e-05	1e-07	{'lambda_2': 0.0001, 'lambda_1': 1e-06, 'alpha_2': 1e-05, 'alpha_1': 1e-07}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.6309064388275147	0.7782459504944937	0.04066953659057617	0.01872883384244404	1e-07	1e-05	1e-07	0.0001	{'lambda_2': 1e-07, 'lambda_1': 1e-05, 'alpha_2': 1e-07, 'alpha_1': 0.0001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
1.7794012069702148	0.303410710470691	0.02590312957763672	0.01903746194582118	1e-05	0.001	1e-07	1e-05	{'lambda_2': 1e-05, 'lambda_1': 0.001, 'alpha_2': 1e-07, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.267229461669922	0.7012326690249443	0.09964814186096191	0.06807214622819396	1e-06	1e-05	0.0001	0.001	{'lambda_2': 1e-06, 'lambda_1': 1e-05, 'alpha_2': 0.0001, 'alpha_1': 0.001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.553714370727539	0.778493995051364	0.04108519554138183	0.01696165773123011	1e-05	0.0001	1e-06	1e-07	{'lambda_2': 1e-05, 'lambda_1': 0.0001, 'alpha_2': 1e-06, 'alpha_1': 1e-07}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
3.6211814403533937	0.2904380314198754	0.222298002243042	0.24566612240978464	0.0001	1e-06	0.001	1e-05	{'lambda_2': 0.0001, 'lambda_1': 1e-06, 'alpha_2': 0.001, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.704906702041626	0.804823974922972	0.04394440650939942	0.014794181618707037	1e-05	0.001	1e-06	0.001	{'lambda_2': 1e-05, 'lambda_1': 0.001, 'alpha_2': 1e-06, 'alpha_1': 0.001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.2613091468811035	0.7016576691776593	0.05767345428466797	0.02218883480593829	0.001	1e-07	1e-05	0.001	{'lambda_2': 0.001, 'lambda_1': 1e-07, 'alpha_2': 1e-05, 'alpha_1': 0.001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.4950931549072264	0.7497480655052148	0.08956828117370605	0.060955713827265674	1e-07	1e-06	0.0001	1e-06	{'lambda_2': 1e-07, 'lambda_1': 1e-06, 'alpha_2': 0.0001, 'alpha_1': 1e-06}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
3.4574103355407715	1.1449238937480308	0.14392313957214356	0.17970120415581836	0.0001	0.0001	0.001	1e-05	{'lambda_2': 0.0001, 'lambda_1': 0.0001, 'alpha_2': 0.001, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
1.8988951683044433	0.6798807613839122	0.0414008617401123	0.02890349498153235	1e-07	1e-06	0.0001	0.0001	{'lambda_2': 1e-07, 'lambda_1': 1e-06, 'alpha_2': 0.0001, 'alpha_1': 0.0001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.2895427703857423	1.0056510192824946	0.04380025863647461	0.009826631429360735	1e-07	0.001	0.0001	0.001	{'lambda_2': 1e-07, 'lambda_1': 0.001, 'alpha_2': 0.0001, 'alpha_1': 0.001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
1.9480587482452392	0.43902422649579786	0.07054028511047364	0.09090572359882235	0.001	0.0001	1e-05	0.0001	{'lambda_2': 0.001, 'lambda_1': 0.0001, 'alpha_2': 1e-05, 'alpha_1': 0.0001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.369632434844971	1.3942792660146095	0.1806586742401123	0.269324517586767	1e-06	0.001	0.0001	0.001	{'lambda_2': 1e-06, 'lambda_1': 0.001, 'alpha_2': 0.0001, 'alpha_1': 0.001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.3428459644317625	0.7133409730148161	0.05595417022705078	0.029657563337218702	1e-06	1e-05	1e-05	1e-05	{'lambda_2': 1e-06, 'lambda_1': 1e-05, 'alpha_2': 1e-05, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
1.3868326663970947	0.5623694851060183	0.0244112491607666	0.028865397129972156	1e-06	0.001	1e-05	1e-05	{'lambda_2': 1e-06, 'lambda_1': 0.001, 'alpha_2': 1e-05, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.0138935089111327	0.6754823655821097	0.08451018333435059	0.11527276463405821	1e-07	1e-06	0.0001	0.001	{'lambda_2': 1e-07, 'lambda_1': 1e-06, 'alpha_2': 0.0001, 'alpha_1': 0.001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.337656116485596	1.1256609394173316	0.02367434501647949	0.01839959169698109	0.0001	1e-05	0.001	1e-05	{'lambda_2': 0.0001, 'lambda_1': 1e-05, 'alpha_2': 0.001, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
3.000256156921387	0.9001032927879126	0.09620475769042969	0.05266506733984194	1e-06	0.001	0.001	1e-05	{'lambda_2': 1e-06, 'lambda_1': 0.001, 'alpha_2': 0.001, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.1911176204681397	0.7351450066874469	0.03539218902587891	0.01891775464093551	1e-05	1e-05	0.001	1e-05	{'lambda_2': 1e-05, 'lambda_1': 1e-05, 'alpha_2': 0.001, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
1.6867751598358154	0.3346264907471409	0.037796735763549805	0.021076336769068317	1e-06	1e-07	1e-06	1e-06	{'lambda_2': 1e-06, 'lambda_1': 1e-07, 'alpha_2': 1e-06, 'alpha_1': 1e-06}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
1.8513949871063233	0.8310495856369317	0.024335193634033202	0.01065306997677562	1e-05	1e-05	1e-05	1e-05	{'lambda_2': 1e-05, 'lambda_1': 1e-05, 'alpha_2': 1e-05, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.6439820766448974	1.3606734784663297	0.0695413589477539	0.07533644951873535	1e-07	1e-07	0.0001	1e-07	{'lambda_2': 1e-07, 'lambda_1': 1e-07, 'alpha_2': 0.0001, 'alpha_1': 1e-07}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.2888415336608885	0.6209977167795948	0.09952516555786133	0.06243036847517012	1e-06	1e-07	1e-07	1e-05	{'lambda_2': 1e-06, 'lambda_1': 1e-07, 'alpha_2': 1e-07, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.715476942062378	0.5148329990458332	0.04997019767761231	0.049411200540842526	1e-07	1e-06	1e-07	1e-05	{'lambda_2': 1e-07, 'lambda_1': 1e-06, 'alpha_2': 1e-07, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.3794665813446043	0.8815056660467325	0.06431751251220703	0.04396022884870007	1e-07	1e-05	1e-05	0.001	{'lambda_2': 1e-07, 'lambda_1': 1e-05, 'alpha_2': 1e-05, 'alpha_1': 0.001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.958445501327515	0.6128078663167801	0.036420249938964845	0.010816638330557444	1e-05	1e-06	1e-07	0.001	{'lambda_2': 1e-05, 'lambda_1': 1e-06, 'alpha_2': 1e-07, 'alpha_1': 0.001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.7618738174438477	0.817820119199448	0.025272417068481445	0.019407852507104095	0.001	0.0001	1e-06	1e-07	{'lambda_2': 0.001, 'lambda_1': 0.0001, 'alpha_2': 1e-06, 'alpha_1': 1e-07}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
3.2646297454833983	1.2619876863398534	0.021457386016845704	0.021243987874614893	0.0001	0.0001	1e-06	0.0001	{'lambda_2': 0.0001, 'lambda_1': 0.0001, 'alpha_2': 1e-06, 'alpha_1': 0.0001}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
3.3235967636108397	0.6580473934939989	0.07395086288452149	0.05918016155669855	1e-06	0.0001	1e-06	1e-07	{'lambda_2': 1e-06, 'lambda_1': 0.0001, 'alpha_2': 1e-06, 'alpha_1': 1e-07}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.796720838546753	1.729209954776464	0.054433155059814456	0.07397246903680293	1e-05	1e-06	0.0001	1e-07	{'lambda_2': 1e-05, 'lambda_1': 1e-06, 'alpha_2': 0.0001, 'alpha_1': 1e-07}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.0922576427459716	0.2049653768975713	0.03471369743347168	0.02149545625426539	0.0001	0.001	1e-05	1e-07	{'lambda_2': 0.0001, 'lambda_1': 0.001, 'alpha_2': 1e-05, 'alpha_1': 1e-07}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
2.6743842124938966	0.91901756637651	0.08940186500549316	0.10709713374453304	1e-05	1e-07	1e-07	1e-05	{'lambda_2': 1e-05, 'lambda_1': 1e-07, 'alpha_2': 1e-07, 'alpha_1': 1e-05}	0.6994798346314987	0.6742343276233609	0.6695927923364458	0.6762074403586754	0.6460194336672541	0.6731067657234469	0.0170440365497586	1
