mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_bootstrap	param_bootstrap_features	param_max_features	param_max_samples	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
1.1242743968963622	0.20653800073055043	0.008878278732299804	0.005160529067320348	False	False	1.0	0.25	{'bootstrap': False, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.25}	0.7274066805839539	0.7428569793701172	0.7098014950752258	0.72225421667099	0.7312141060829163	0.7267066955566406	0.01083742374820398	1
3.4293261051177977	0.6240987415073257	0.008887529373168945	0.004759251269580243	True	False	1.0	0.75	{'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.75}	0.747776448726654	0.7140496373176575	0.7353401184082031	0.7250344753265381	0.7038836479187012	0.7252168655395508	0.01543542334130614	2
2.5638623237609863	0.20377893169244135	0.013404035568237304	0.010399329115818905	True	True	0.5	1.0	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.5, 'max_samples': 1.0}	0.7375614643096924	0.7259805202484131	0.7466629147529602	0.6925166249275208	0.7075734734535217	0.7220589995384217	0.019716184956297716	3
1.323457908630371	0.10446930429968178	0.01925053596496582	0.005393224531745712	True	False	1.0	0.25	{'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 0.25}	0.7416736483573914	0.733323335647583	0.7335996627807617	0.7048380970954895	0.6887819170951843	0.720443332195282	0.020177603506905003	4
2.8063127517700197	0.5972699589929132	0.006569623947143555	0.0004110803986868729	True	True	0.75	0.75	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.75, 'max_samples': 0.75}	0.7504331469535828	0.727012574672699	0.7362869381904602	0.7139655351638794	0.6722909808158875	0.7199978351593017	0.026657765272408464	5
3.9572351455688475	0.6163222417780949	0.01479635238647461	0.006279494988128452	True	True	1.0	0.75	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 1.0, 'max_samples': 0.75}	0.7390294075012207	0.695584237575531	0.7214274406433105	0.7363070249557495	0.7060866355895996	0.7196869492530823	0.01684812250477249	6
1.9274343967437744	0.28239712513330595	0.010345888137817384	0.005260637497905015	True	True	0.5	0.75	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.5, 'max_samples': 0.75}	0.7302143573760986	0.7103276252746582	0.755121648311615	0.7269591689109802	0.6714772582054138	0.7188200116157532	0.02766710230515551	7
0.9944784641265869	0.09941881570599918	0.013681983947753907	0.007295072538346917	True	True	0.75	0.25	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.75, 'max_samples': 0.25}	0.7283187508583069	0.7540044784545898	0.7233723402023315	0.6991365551948547	0.6873185634613037	0.7184301376342773	0.02335772306276929	8
5.1454713344573975	0.5850284029658143	0.012441349029541016	0.005381826964898639	False	True	0.75	1.0	{'bootstrap': False, 'bootstrap_features': True, 'max_features': 0.75, 'max_samples': 1.0}	0.7213971614837646	0.7339504957199097	0.7561955451965332	0.6885589361190796	0.6920360326766968	0.7184276342391968	0.02555327055040653	9
2.3269911289215086	0.24715285088811367	0.009973573684692382	0.007695224142662695	True	True	0.75	0.5	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.75, 'max_samples': 0.5}	0.7411260008811951	0.7228453159332275	0.7057796716690063	0.7256609797477722	0.6903709769248962	0.7171565890312195	0.017470673966600174	10
0.7975253105163574	0.2116704248868595	0.010981082916259766	0.0071586926642993026	True	False	0.75	0.25	{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.25}	0.7485686540603638	0.7396449446678162	0.7217708230018616	0.6819019317626953	0.6923825740814209	0.7168537855148316	0.02596119931657754	11
0.9732954978942872	0.2078197095098397	0.008610916137695313	0.0038367835034297105	False	True	1.0	0.25	{'bootstrap': False, 'bootstrap_features': True, 'max_features': 1.0, 'max_samples': 0.25}	0.744225263595581	0.7185097336769104	0.7286574244499207	0.7053783535957336	0.6858711838722229	0.7165283918380737	0.019911522321512495	12
0.7189093112945557	0.19561937974389318	0.012025594711303711	0.005548027636448959	True	True	0.5	0.25	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.5, 'max_samples': 0.25}	0.7156450748443604	0.7438042759895325	0.7009954452514648	0.7190777659416199	0.6999496817588806	0.7158944487571717	0.01590830004669436	13
2.9553991317749024	0.5043959568787526	0.012462425231933593	0.005518119322561218	False	True	0.5	1.0	{'bootstrap': False, 'bootstrap_features': True, 'max_features': 0.5, 'max_samples': 1.0}	0.7538903951644897	0.7071117162704468	0.7409544587135315	0.6971572637557983	0.6792988181114197	0.7156825304031372	0.027708952233984317	14
3.55356879234314	0.6536882833196848	0.01021575927734375	0.004809643929913222	True	True	0.75	1.0	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 0.75, 'max_samples': 1.0}	0.7359188199043274	0.6936056613922119	0.7352460622787476	0.722550094127655	0.690754771232605	0.7156150817871094	0.019739104335024436	15
3.331577777862549	0.5096006980837637	0.012531423568725586	0.004904336719311799	False	True	0.75	0.75	{'bootstrap': False, 'bootstrap_features': True, 'max_features': 0.75, 'max_samples': 0.75}	0.7058756947517395	0.7207121849060059	0.717658519744873	0.7165777087211609	0.7171068787574768	0.7155861973762512	0.005062799541471697	16
2.969423198699951	0.4177689558305276	0.01960749626159668	0.0025113100558830054	True	False	0.75	0.75	{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.75}	0.7266049981117249	0.738031268119812	0.7339767217636108	0.7052247524261475	0.6727873086929321	0.7153250098228454	0.0240921973961052	17
2.459591197967529	0.37973270659762765	0.010024499893188477	0.005460394453458719	False	False	0.5	0.75	{'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.5, 'max_samples': 0.75}	0.709467887878418	0.7170625329017639	0.7265670895576477	0.7482898235321045	0.673168420791626	0.7149111509323121	0.024603697959502912	18
2.0507680416107177	0.43318559468188766	0.00993814468383789	0.00469844755374212	False	False	0.75	0.5	{'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.5}	0.7133620977401733	0.7212458252906799	0.7265670895576477	0.7193549871444702	0.6929976344108582	0.7147055268287659	0.01164583230613386	19
6.730261564254761	0.8842244586464284	0.00913691520690918	0.004663188978183767	False	True	1.0	1.0	{'bootstrap': False, 'bootstrap_features': True, 'max_features': 1.0, 'max_samples': 1.0}	0.7276256680488586	0.6910413503646851	0.73092120885849	0.7062169909477234	0.7167170643806458	0.7145044565200805	0.014599801498243796	20
2.297541093826294	0.4327284277276712	0.008584547042846679	0.003944296973356315	True	True	1.0	0.5	{'bootstrap': True, 'bootstrap_features': True, 'max_features': 1.0, 'max_samples': 0.5}	0.7225921154022217	0.7255537509918213	0.7093202471733093	0.7053783535957336	0.7030197381973267	0.7131728410720826	0.009172695046716684	21
2.0751953601837156	0.34234966882824375	0.010595464706420898	0.005011736054093823	False	True	0.75	0.5	{'bootstrap': False, 'bootstrap_features': True, 'max_features': 0.75, 'max_samples': 0.5}	0.7225921154022217	0.7134515047073364	0.7190839648246765	0.7121270298957825	0.6964827179908752	0.7127474665641784	0.008972078671845908	22
2.3330399990081787	0.16364912853546199	0.013621044158935548	0.008499004787518437	True	False	0.5	1.0	{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.5, 'max_samples': 1.0}	0.7421432137489319	0.7301666736602783	0.7222212553024292	0.69095778465271	0.6762325167655945	0.7123442888259888	0.02475726332459623	23
1.9512928009033204	0.051195857481447435	0.013914871215820312	0.0042020702328404175	True	False	0.75	0.5	{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.5}	0.7406516075134277	0.7123213410377502	0.7248182892799377	0.6878154873847961	0.6938172578811646	0.7118847966194153	0.019497501458036897	24
1.388332462310791	0.2601803885034312	0.010930871963500977	0.0060236701366536485	False	False	0.5	0.5	{'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.5, 'max_samples': 0.5}	0.7037554979324341	0.7249671220779419	0.7217708230018616	0.717516303062439	0.691160261631012	0.7118340015411377	0.01261882378657279	25
2.1267282009124755	0.3097199889381981	0.005630636215209961	0.0002612902556029559	False	True	0.5	0.75	{'bootstrap': False, 'bootstrap_features': True, 'max_features': 0.5, 'max_samples': 0.75}	0.7313976883888245	0.7149391770362854	0.7233723402023315	0.7000932693481445	0.6880922913551331	0.7115789532661438	0.015663342962863033	26
3.204537534713745	0.1553143941594255	0.006585884094238281	0.0006553456965027845	False	False	0.75	0.75	{'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.75}	0.7389848232269287	0.7385461330413818	0.6807646751403809	0.7162901759147644	0.6830136775970459	0.7115198969841003	0.02555771266926491	27
0.9123622894287109	0.16575383595533494	0.008278369903564453	0.004373508701986469	False	False	0.75	0.25	{'bootstrap': False, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 0.25}	0.7245099544525146	0.7166252732276917	0.6873461604118347	0.7109012603759766	0.7167170643806458	0.7112199425697326	0.012697396555465673	28
3.5951011180877686	0.23087471549137642	0.010872268676757812	0.0047860300482476135	True	False	0.75	1.0	{'bootstrap': True, 'bootstrap_features': False, 'max_features': 0.75, 'max_samples': 1.0}	0.7199079394340515	0.7012940049171448	0.7084234952926636	0.7165777087211609	0.70909184217453	0.7110589981079102	0.00655638008351252	29
