[ 0.          0.          0.          0.          0.          0.
 -0.00396472  0.03310218  0.         -0.00617809  0.         -0.00816965
  0.          0.          0.          0.          0.00405221  0.
  0.04156206  0.02099081  0.          0.00518815  0.00212108  0.00342111
  0.          0.          0.01827574  0.01402222  0.          0.00433973
  0.00979233  0.01298842  0.00527647  0.01058932  0.03400639  0.00083241
  0.          0.0497186   0.00414815  0.00156602  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.0014273   0.          0.          0.          0.
  0.00370562  0.          0.00412429  0.          0.          0.
  0.00548192  0.          0.         -0.01173655  0.          0.02276992
  0.01864917  0.01344305  0.00673815  0.01227205  0.01789732  0.
  0.00548801  0.00151485  0.         -0.00100687  0.         -0.00902288
  0.00161862  0.          0.          0.          0.        ]
