[ 0.          0.0004266   0.         -0.00252435  0.0044394   0.
  0.00633042  0.03416589  0.          0.          0.         -0.00943547
  0.          0.00055317  0.          0.          0.00376677  0.
  0.0461984   0.0263038   0.          0.00855936  0.01015564  0.
  0.00257008  0.          0.02151523  0.02070749  0.000368    0.00392008
  0.01387232  0.01968537  0.00446052  0.00792882  0.02964858  0.
  0.          0.02879755  0.00476338  0.          0.01083167  0.
  0.          0.          0.          0.          0.00117734  0.
  0.          0.00443777  0.          0.          0.          0.
  0.00198614  0.          0.          0.          0.         -0.00040654
  0.00575113  0.          0.01492916  0.0227609  -0.02001056  0.00344375
  0.00464123  0.0036783   0.00447051  0.          0.00545142  0.00386109
  0.00744044  0.          0.         -0.00094343  0.00021869  0.
  0.00400395  0.00070249  0.00183637  0.          0.00036007]
