chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.911504424778761	0.4975845410628019	0.91 (103 / 113)	0.50 (103 / 207)
2	0.9325842696629213	0.5424836601307189	0.93 (83 / 89)	0.54 (83 / 153)
3	0.8953488372093024	0.5703703703703704	0.90 (77 / 86)	0.57 (77 / 135)
4	1.0	0.47297297297297297	1.00 (35 / 35)	0.47 (35 / 74)
5	0.9444444444444444	0.6238532110091743	0.94 (68 / 72)	0.62 (68 / 109)
6	0.8939393939393939	0.6082474226804123	0.89 (59 / 66)	0.61 (59 / 97)
7	0.9777777777777777	0.5569620253164557	0.98 (44 / 45)	0.56 (44 / 79)
8	0.9333333333333333	0.5526315789473685	0.93 (42 / 45)	0.55 (42 / 76)
9	0.984375	0.6176470588235294	0.98 (63 / 64)	0.62 (63 / 102)
10	0.94	0.573170731707317	0.94 (47 / 50)	0.57 (47 / 82)
11	0.9397590361445783	0.5492957746478874	0.94 (78 / 83)	0.55 (78 / 142)
12	0.9354838709677419	0.5370370370370371	0.94 (58 / 62)	0.54 (58 / 108)
13	0.9444444444444444	0.4594594594594595	0.94 (17 / 18)	0.46 (17 / 37)
14	1.0	0.6268656716417911	1.00 (42 / 42)	0.63 (42 / 67)
15	0.9767441860465116	0.56	0.98 (42 / 43)	0.56 (42 / 75)
16	0.9821428571428571	0.5978260869565217	0.98 (55 / 56)	0.60 (55 / 92)
17	0.9264705882352942	0.5080645161290323	0.93 (63 / 68)	0.51 (63 / 124)
18	0.9523809523809523	0.6666666666666666	0.95 (20 / 21)	0.67 (20 / 30)
19	0.9508196721311475	0.5576923076923077	0.95 (58 / 61)	0.56 (58 / 104)
20	1.0	0.6545454545454545	1.00 (36 / 36)	0.65 (36 / 55)
21	1.0	0.5454545454545454	1.00 (12 / 12)	0.55 (12 / 22)
22	0.9629629629629629	0.5531914893617021	0.96 (26 / 27)	0.55 (26 / 47)
X	1.0	0.9019607843137255	1.00 (138 / 138)	0.90 (138 / 153)
