chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9099099099099099	0.48792270531400966	0.91 (101 / 111)	0.49 (101 / 207)
2	0.9186046511627907	0.5163398692810458	0.92 (79 / 86)	0.52 (79 / 153)
3	0.9080459770114943	0.5851851851851851	0.91 (79 / 87)	0.59 (79 / 135)
4	1.0	0.4864864864864865	1.00 (36 / 36)	0.49 (36 / 74)
5	0.9571428571428572	0.6146788990825688	0.96 (67 / 70)	0.61 (67 / 109)
6	0.8833333333333333	0.5463917525773195	0.88 (53 / 60)	0.55 (53 / 97)
7	0.9534883720930233	0.5189873417721519	0.95 (41 / 43)	0.52 (41 / 79)
8	0.9318181818181818	0.5394736842105263	0.93 (41 / 44)	0.54 (41 / 76)
9	1.0	0.5882352941176471	1.00 (60 / 60)	0.59 (60 / 102)
10	0.94	0.573170731707317	0.94 (47 / 50)	0.57 (47 / 82)
11	0.9382716049382716	0.5352112676056338	0.94 (76 / 81)	0.54 (76 / 142)
12	0.9473684210526315	0.5	0.95 (54 / 57)	0.50 (54 / 108)
13	0.9444444444444444	0.4594594594594595	0.94 (17 / 18)	0.46 (17 / 37)
14	1.0	0.6268656716417911	1.00 (42 / 42)	0.63 (42 / 67)
15	0.9761904761904762	0.5466666666666666	0.98 (41 / 42)	0.55 (41 / 75)
16	0.9814814814814815	0.5760869565217391	0.98 (53 / 54)	0.58 (53 / 92)
17	0.9230769230769231	0.4838709677419355	0.92 (60 / 65)	0.48 (60 / 124)
18	0.9523809523809523	0.6666666666666666	0.95 (20 / 21)	0.67 (20 / 30)
19	0.9666666666666667	0.5576923076923077	0.97 (58 / 60)	0.56 (58 / 104)
20	0.9705882352941176	0.6	0.97 (33 / 34)	0.60 (33 / 55)
21	1.0	0.5454545454545454	1.00 (12 / 12)	0.55 (12 / 22)
22	0.9615384615384616	0.5319148936170213	0.96 (25 / 26)	0.53 (25 / 47)
X	1.0	0.8431372549019608	1.00 (129 / 129)	0.84 (129 / 153)
