chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 207)
2	0.9999999999999998	0.006535947712418301	1.00 (1 / 1)	0.01 (1 / 153)
3	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 135)
4	0.9999999999999998	0.013513513513513514	1.00 (1 / 1)	0.01 (1 / 74)
5	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 109)
6	1.0	0.020618556701030927	1.00 (2 / 2)	0.02 (2 / 97)
7	1.0	0.0379746835443038	1.00 (3 / 3)	0.04 (3 / 79)
8	0.8	0.05263157894736842	0.80 (4 / 5)	0.05 (4 / 76)
9	1.0	0.0392156862745098	1.00 (4 / 4)	0.04 (4 / 102)
10	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 82)
11	0.8888888888888888	0.056338028169014086	0.89 (8 / 9)	0.06 (8 / 142)
12	1.0	0.046296296296296294	1.00 (5 / 5)	0.05 (5 / 108)
13	0.9999999999999998	0.02702702702702703	1.00 (1 / 1)	0.03 (1 / 37)
14	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 67)
15	0.9999999999999998	0.013333333333333334	1.00 (1 / 1)	0.01 (1 / 75)
16	0.8571428571428571	0.06521739130434782	0.86 (6 / 7)	0.07 (6 / 92)
17	0.7727272727272727	0.13709677419354838	0.77 (17 / 22)	0.14 (17 / 124)
18	1.0	0.13333333333333333	1.00 (4 / 4)	0.13 (4 / 30)
19	0.8666666666666667	0.125	0.87 (13 / 15)	0.12 (13 / 104)
20	1.0	0.12727272727272726	1.00 (7 / 7)	0.13 (7 / 55)
21	1.0	0.09090909090909091	1.00 (2 / 2)	0.09 (2 / 22)
22	0.8333333333333334	0.10638297872340426	0.83 (5 / 6)	0.11 (5 / 47)
X	1.0	0.032679738562091505	1.00 (5 / 5)	0.03 (5 / 153)
