chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.8956521739130435	0.4975845410628019	0.90 (103 / 115)	0.50 (103 / 207)
2	0.925	0.48366013071895425	0.93 (74 / 80)	0.48 (74 / 153)
3	0.9102564102564102	0.5259259259259259	0.91 (71 / 78)	0.53 (71 / 135)
4	0.9411764705882353	0.43243243243243246	0.94 (32 / 34)	0.43 (32 / 74)
5	0.9420289855072463	0.5963302752293578	0.94 (65 / 69)	0.60 (65 / 109)
6	0.8928571428571429	0.5154639175257731	0.89 (50 / 56)	0.52 (50 / 97)
7	0.9787234042553191	0.5822784810126582	0.98 (46 / 47)	0.58 (46 / 79)
8	0.9	0.47368421052631576	0.90 (36 / 40)	0.47 (36 / 76)
9	0.9636363636363636	0.5196078431372549	0.96 (53 / 55)	0.52 (53 / 102)
10	0.9583333333333334	0.5609756097560976	0.96 (46 / 48)	0.56 (46 / 82)
11	0.958904109589041	0.49295774647887325	0.96 (70 / 73)	0.49 (70 / 142)
12	0.9354838709677419	0.5370370370370371	0.94 (58 / 62)	0.54 (58 / 108)
13	0.875	0.3783783783783784	0.88 (14 / 16)	0.38 (14 / 37)
14	1.0	0.582089552238806	1.00 (39 / 39)	0.58 (39 / 67)
15	0.9767441860465116	0.56	0.98 (42 / 43)	0.56 (42 / 75)
16	1.0	0.44565217391304346	1.00 (41 / 41)	0.45 (41 / 92)
17	0.9571428571428572	0.5403225806451613	0.96 (67 / 70)	0.54 (67 / 124)
18	1.0	0.5333333333333333	1.00 (16 / 16)	0.53 (16 / 30)
19	0.9666666666666667	0.5576923076923077	0.97 (58 / 60)	0.56 (58 / 104)
20	1.0	0.6181818181818182	1.00 (34 / 34)	0.62 (34 / 55)
21	1.0	0.45454545454545453	1.00 (10 / 10)	0.45 (10 / 22)
22	0.9545454545454546	0.44680851063829785	0.95 (21 / 22)	0.45 (21 / 47)
X	1.0	0.9215686274509803	1.00 (141 / 141)	0.92 (141 / 153)
