chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.8921568627450981	0.4396135265700483	0.89 (91 / 102)	0.44 (91 / 207)
2	0.9397590361445783	0.5098039215686274	0.94 (78 / 83)	0.51 (78 / 153)
3	0.8953488372093024	0.5703703703703704	0.90 (77 / 86)	0.57 (77 / 135)
4	1.0	0.3918918918918919	1.00 (29 / 29)	0.39 (29 / 74)
5	0.9452054794520548	0.6330275229357798	0.95 (69 / 73)	0.63 (69 / 109)
6	0.8852459016393442	0.5567010309278351	0.89 (54 / 61)	0.56 (54 / 97)
7	0.9761904761904762	0.5189873417721519	0.98 (41 / 42)	0.52 (41 / 79)
8	0.9333333333333333	0.5526315789473685	0.93 (42 / 45)	0.55 (42 / 76)
9	0.9850746268656716	0.6470588235294118	0.99 (66 / 67)	0.65 (66 / 102)
10	0.9574468085106383	0.5487804878048781	0.96 (45 / 47)	0.55 (45 / 82)
11	0.9487179487179487	0.5211267605633803	0.95 (74 / 78)	0.52 (74 / 142)
12	0.95	0.5277777777777778	0.95 (57 / 60)	0.53 (57 / 108)
13	0.8888888888888888	0.43243243243243246	0.89 (16 / 18)	0.43 (16 / 37)
14	1.0	0.6268656716417911	1.00 (42 / 42)	0.63 (42 / 67)
15	1.0	0.5466666666666666	1.00 (41 / 41)	0.55 (41 / 75)
16	1.0	0.6304347826086957	1.00 (58 / 58)	0.63 (58 / 92)
17	0.9230769230769231	0.4838709677419355	0.92 (60 / 65)	0.48 (60 / 124)
18	0.95	0.6333333333333333	0.95 (19 / 20)	0.63 (19 / 30)
19	0.9464285714285714	0.5096153846153846	0.95 (53 / 56)	0.51 (53 / 104)
20	1.0	0.6545454545454545	1.00 (36 / 36)	0.65 (36 / 55)
21	1.0	0.5	1.00 (11 / 11)	0.50 (11 / 22)
22	0.9259259259259259	0.5319148936170213	0.93 (25 / 27)	0.53 (25 / 47)
X	1.0	0.8431372549019608	1.00 (129 / 129)	0.84 (129 / 153)
