chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9153846153846154	0.5748792270531401	0.92 (119 / 130)	0.57 (119 / 207)
2	0.9270833333333334	0.5816993464052288	0.93 (89 / 96)	0.58 (89 / 153)
3	0.9080459770114943	0.5851851851851851	0.91 (79 / 87)	0.59 (79 / 135)
4	0.972972972972973	0.4864864864864865	0.97 (36 / 37)	0.49 (36 / 74)
5	0.9358974358974359	0.6697247706422018	0.94 (73 / 78)	0.67 (73 / 109)
6	0.8985507246376812	0.6391752577319587	0.90 (62 / 69)	0.64 (62 / 97)
7	0.9811320754716981	0.6582278481012658	0.98 (52 / 53)	0.66 (52 / 79)
8	0.9333333333333333	0.5526315789473685	0.93 (42 / 45)	0.55 (42 / 76)
9	0.9861111111111112	0.696078431372549	0.99 (71 / 72)	0.70 (71 / 102)
10	0.9423076923076923	0.5975609756097561	0.94 (49 / 52)	0.60 (49 / 82)
11	0.9444444444444444	0.5985915492957746	0.94 (85 / 90)	0.60 (85 / 142)
12	0.9571428571428572	0.6203703703703703	0.96 (67 / 70)	0.62 (67 / 108)
13	0.8947368421052632	0.4594594594594595	0.89 (17 / 19)	0.46 (17 / 37)
14	1.0	0.6417910447761194	1.00 (43 / 43)	0.64 (43 / 67)
15	0.9772727272727273	0.5733333333333334	0.98 (43 / 44)	0.57 (43 / 75)
16	0.9830508474576272	0.6304347826086957	0.98 (58 / 59)	0.63 (58 / 92)
17	0.9342105263157895	0.5725806451612904	0.93 (71 / 76)	0.57 (71 / 124)
18	0.9523809523809523	0.6666666666666666	0.95 (20 / 21)	0.67 (20 / 30)
19	0.9452054794520548	0.6634615384615384	0.95 (69 / 73)	0.66 (69 / 104)
20	1.0	0.6727272727272727	1.00 (37 / 37)	0.67 (37 / 55)
21	1.0	0.5909090909090909	1.00 (13 / 13)	0.59 (13 / 22)
22	0.9259259259259259	0.5319148936170213	0.93 (25 / 27)	0.53 (25 / 47)
X	1.0	0.9607843137254902	1.00 (147 / 147)	0.96 (147 / 153)
