chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9012345679012346	0.7053140096618358	0.90 (146 / 162)	0.71 (146 / 207)
2	0.9504132231404959	0.7516339869281046	0.95 (115 / 121)	0.75 (115 / 153)
3	0.9217391304347826	0.7851851851851852	0.92 (106 / 115)	0.79 (106 / 135)
4	0.9310344827586207	0.7297297297297297	0.93 (54 / 58)	0.73 (54 / 74)
5	0.968421052631579	0.8440366972477065	0.97 (92 / 95)	0.84 (92 / 109)
6	0.9620253164556962	0.7835051546391752	0.96 (76 / 79)	0.78 (76 / 97)
7	0.9558823529411765	0.8227848101265823	0.96 (65 / 68)	0.82 (65 / 79)
8	0.9122807017543859	0.6842105263157895	0.91 (52 / 57)	0.68 (52 / 76)
9	0.9885057471264368	0.8431372549019608	0.99 (86 / 87)	0.84 (86 / 102)
10	0.9571428571428572	0.8170731707317073	0.96 (67 / 70)	0.82 (67 / 82)
11	0.9491525423728814	0.7887323943661971	0.95 (112 / 118)	0.79 (112 / 142)
12	0.9560439560439561	0.8055555555555556	0.96 (87 / 91)	0.81 (87 / 108)
13	0.9230769230769231	0.6486486486486487	0.92 (24 / 26)	0.65 (24 / 37)
14	0.9649122807017544	0.8208955223880597	0.96 (55 / 57)	0.82 (55 / 67)
15	0.9814814814814815	0.7066666666666667	0.98 (53 / 54)	0.71 (53 / 75)
16	0.9367088607594937	0.8043478260869565	0.94 (74 / 79)	0.80 (74 / 92)
17	0.9439252336448598	0.8145161290322581	0.94 (101 / 107)	0.81 (101 / 124)
18	0.96	0.8	0.96 (24 / 25)	0.80 (24 / 30)
19	0.9489795918367347	0.8942307692307693	0.95 (93 / 98)	0.89 (93 / 104)
20	1.0	0.8363636363636363	1.00 (46 / 46)	0.84 (46 / 55)
21	1.0	0.8181818181818182	1.00 (18 / 18)	0.82 (18 / 22)
22	0.8974358974358975	0.7446808510638298	0.90 (35 / 39)	0.74 (35 / 47)
X	0.9931972789115646	0.954248366013072	0.99 (146 / 147)	0.95 (146 / 153)
