chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9238095238095239	0.46859903381642515	0.92 (97 / 105)	0.47 (97 / 207)
2	0.9102564102564102	0.46405228758169936	0.91 (71 / 78)	0.46 (71 / 153)
3	0.8918918918918919	0.4888888888888889	0.89 (66 / 74)	0.49 (66 / 135)
4	1.0	0.47297297297297297	1.00 (35 / 35)	0.47 (35 / 74)
5	0.9393939393939394	0.5688073394495413	0.94 (62 / 66)	0.57 (62 / 109)
6	0.8909090909090909	0.5051546391752577	0.89 (49 / 55)	0.51 (49 / 97)
7	0.9767441860465116	0.5316455696202531	0.98 (42 / 43)	0.53 (42 / 79)
8	0.925	0.4868421052631579	0.93 (37 / 40)	0.49 (37 / 76)
9	1.0	0.47058823529411764	1.00 (48 / 48)	0.47 (48 / 102)
10	0.95	0.4634146341463415	0.95 (38 / 40)	0.46 (38 / 82)
11	0.9508196721311475	0.4084507042253521	0.95 (58 / 61)	0.41 (58 / 142)
12	0.9180327868852459	0.5185185185185185	0.92 (56 / 61)	0.52 (56 / 108)
13	0.9333333333333333	0.3783783783783784	0.93 (14 / 15)	0.38 (14 / 37)
14	1.0	0.5373134328358209	1.00 (36 / 36)	0.54 (36 / 67)
15	0.975	0.52	0.97 (39 / 40)	0.52 (39 / 75)
16	1.0	0.4782608695652174	1.00 (44 / 44)	0.48 (44 / 92)
17	0.9344262295081968	0.4596774193548387	0.93 (57 / 61)	0.46 (57 / 124)
18	0.9444444444444444	0.5666666666666667	0.94 (17 / 18)	0.57 (17 / 30)
19	0.9615384615384616	0.4807692307692308	0.96 (50 / 52)	0.48 (50 / 104)
20	1.0	0.509090909090909	1.00 (28 / 28)	0.51 (28 / 55)
21	1.0	0.5	1.00 (11 / 11)	0.50 (11 / 22)
22	0.9230769230769231	0.5106382978723404	0.92 (24 / 26)	0.51 (24 / 47)
X	1.0	0.8888888888888888	1.00 (136 / 136)	0.89 (136 / 153)
