chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9166666666666666	0.05314009661835749	0.92 (11 / 12)	0.05 (11 / 207)
2	0.6666666666666666	0.013071895424836602	0.67 (2 / 3)	0.01 (2 / 153)
3	1.0	0.044444444444444446	1.00 (6 / 6)	0.04 (6 / 135)
4	1.0	0.04054054054054054	1.00 (3 / 3)	0.04 (3 / 74)
5	1.0	0.05504587155963303	1.00 (6 / 6)	0.06 (6 / 109)
6	0.8333333333333334	0.05154639175257732	0.83 (5 / 6)	0.05 (5 / 97)
7	1.0	0.0759493670886076	1.00 (6 / 6)	0.08 (6 / 79)
8	1.0	0.02631578947368421	1.00 (2 / 2)	0.03 (2 / 76)
9	1.0	0.029411764705882353	1.00 (3 / 3)	0.03 (3 / 102)
10	1.0	0.04878048780487805	1.00 (4 / 4)	0.05 (4 / 82)
11	1.0	0.04225352112676056	1.00 (6 / 6)	0.04 (6 / 142)
12	1.0	0.037037037037037035	1.00 (4 / 4)	0.04 (4 / 108)
13	0.9999999999999998	0.02702702702702703	1.00 (1 / 1)	0.03 (1 / 37)
14	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 67)
15	1.0	0.06666666666666667	1.00 (5 / 5)	0.07 (5 / 75)
16	0.8888888888888888	0.08695652173913043	0.89 (8 / 9)	0.09 (8 / 92)
17	0.9090909090909091	0.08064516129032258	0.91 (10 / 11)	0.08 (10 / 124)
18	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 30)
19	1.0	0.14423076923076922	1.00 (15 / 15)	0.14 (15 / 104)
20	1.0	0.07272727272727272	1.00 (4 / 4)	0.07 (4 / 55)
21	1.0	0.09090909090909091	1.00 (2 / 2)	0.09 (2 / 22)
22	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 47)
X	1.0	0.026143790849673203	1.00 (4 / 4)	0.03 (4 / 153)
