chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9134615384615384	0.45893719806763283	0.91 (95 / 104)	0.46 (95 / 207)
2	0.9186046511627907	0.5163398692810458	0.92 (79 / 86)	0.52 (79 / 153)
3	0.9294117647058824	0.5851851851851851	0.93 (79 / 85)	0.59 (79 / 135)
4	1.0	0.43243243243243246	1.00 (32 / 32)	0.43 (32 / 74)
5	0.9428571428571428	0.6055045871559633	0.94 (66 / 70)	0.61 (66 / 109)
6	0.8870967741935484	0.5670103092783505	0.89 (55 / 62)	0.57 (55 / 97)
7	0.9787234042553191	0.5822784810126582	0.98 (46 / 47)	0.58 (46 / 79)
8	0.9090909090909091	0.5263157894736842	0.91 (40 / 44)	0.53 (40 / 76)
9	0.9848484848484849	0.6372549019607843	0.98 (65 / 66)	0.64 (65 / 102)
10	0.9347826086956522	0.524390243902439	0.93 (43 / 46)	0.52 (43 / 82)
11	0.9367088607594937	0.5211267605633803	0.94 (74 / 79)	0.52 (74 / 142)
12	0.9473684210526315	0.5	0.95 (54 / 57)	0.50 (54 / 108)
13	0.8888888888888888	0.43243243243243246	0.89 (16 / 18)	0.43 (16 / 37)
14	1.0	0.6417910447761194	1.00 (43 / 43)	0.64 (43 / 67)
15	0.975	0.52	0.97 (39 / 40)	0.52 (39 / 75)
16	0.9811320754716981	0.5652173913043478	0.98 (52 / 53)	0.57 (52 / 92)
17	0.9384615384615385	0.49193548387096775	0.94 (61 / 65)	0.49 (61 / 124)
18	0.95	0.6333333333333333	0.95 (19 / 20)	0.63 (19 / 30)
19	0.9607843137254902	0.47115384615384615	0.96 (49 / 51)	0.47 (49 / 104)
20	1.0	0.6	1.00 (33 / 33)	0.60 (33 / 55)
21	1.0	0.5	1.00 (11 / 11)	0.50 (11 / 22)
22	0.9259259259259259	0.5319148936170213	0.93 (25 / 27)	0.53 (25 / 47)
X	1.0	0.8627450980392157	1.00 (132 / 132)	0.86 (132 / 153)
