OMIM Search - '+cs_neurologic_exists:true (Search in: Prefixes: #, Chromosomes: 13, 14, 15, 16, 17, 18, 19, 20)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1		17q24.2		
#103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A		20q13.32		
#103780	ALCOHOL DEPENDENCE	ALCOHOL DEPENDENCE, PROTECTION AGAINST, INCLUDED	4p12, 4q23, 4q23, 13q14.2		
#104300	ALZHEIMER DISEASE; AD	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED	6p22.2, 7q36.1, 10q22.2, 12p13.31, 17q22, 21q21.3		
#104310	ALZHEIMER DISEASE 2; AD2		19q13.32		
#105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED		20p11.21		
#105200	AMYLOIDOSIS, FAMILIAL VISCERAL		4q31.3, 11q23.3, 12q15, 15q21.1		
#105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	AMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED, INCLUDED	18q12.1		
#105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1		15q21.2		
#105650	DIAMOND-BLACKFAN ANEMIA 1; DBA1		19q13.2		
#105830	ANGELMAN SYNDROME; AS	ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED; ANCR, INCLUDED	15q11.2		
#107480	TOWNES-BROCKS SYNDROME 1; TBS1	TOWNES-BROCKS-BRANCHIOOTORENAL-LIKE SYNDROME, INCLUDED	16q12.1		
#108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5		18p11.22-p11.21		
#108500	EPISODIC ATAXIA, TYPE 2; EA2		19p13.13		
#109150	MACHADO-JOSEPH DISEASE; MJD		14q32.12		
#112240	COLE-CARPENTER SYNDROME 1; CLCRP1		17q25.3		
#114290	CAMPOMELIC DYSPLASIA	CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL, INCLUDED	17q24.3		
#114300	ARTHROGRYPOSIS, DISTAL, TYPE 3; DA3		18p11.22-p11.21		
#115080	CARDIAC CONDUCTION DEFECT	SUDDEN CARDIAC DEATH, INCLUDED; SCD, INCLUDED	17p11.2		
#115430	CARPAL TUNNEL SYNDROME; CTS1		18q12.1		
#117000	CENTRAL CORE DISEASE OF MUSCLE; CCD	MINICORE MYOPATHY, MODERATE, WITH HAND INVOLVEMENT, INCLUDED	19q13.2		
#117210	SPINOCEREBELLAR ATAXIA 31; SCA31		16q21		
#117300	CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 2		13q14.2		
#117650	CEREBROCOSTOMANDIBULAR SYNDROME; CCMS		20p13		
#118220	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A; CMT1A		17p12		
#118300	CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS		17p12		
#118450	ALAGILLE SYNDROME 1; ALGS1		20p12.2		
#118700	CHOREA, BENIGN HEREDITARY; BHC		14q13.3		
#119580	BLEPHAROCHEILODONTIC SYNDROME 1; BCDS1		16q22.1		
#121200	SEIZURES, BENIGN FAMILIAL NEONATAL, 1; BFNS1	EPILEPSY, BENIGN NEONATAL, 1, AND/OR MYOKYMIA, INCLUDED	20q13.33		
#122860	CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CDD		17q21.31		
#123400	CREUTZFELDT-JAKOB DISEASE; CJD	CREUTZFELDT-JAKOB DISEASE, SPORADIC, INCLUDED; sCJD, INCLUDED	6p21.32, 20p13		
#125310	CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1; CADASIL1		19p13.12		
#125630	VIBRATORY URTICARIA; VBU		19p13.12		
#127700	DYSLEXIA, SUSCEPTIBILITY TO, 1; DYX1	DYSLEXIA, SUSCEPTIBILITY TO, 4, INCLUDED; DYX4, INCLUDED	15q21.3		
#128101	DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT; DYT4		19p13.3		
#128200	EPISODIC KINESIGENIC DYSKINESIA 1; EKD1		16p11.2		
#128230	DYSTONIA, DOPA-RESPONSIVE; DRD		14q22.2		
#128235	DYSTONIA 12; DYT12		19q13.2		
#220500	DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS		16p13.3		
#221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 1; PLOSL1		19q13.12		
#222700	LYSINURIC PROTEIN INTOLERANCE; LPI		14q11.2		
#223800	DYGGVE-MELCHIOR-CLAUSEN DISEASE; DMC		18q21.1		
#224230	DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1; DKCB1		15q14		
#605231	BARDET-BIEDL SYNDROME 6; BBS6		20p12.2		
#605259	SPINOCEREBELLAR ATAXIA 13; SCA13		19q13.33		
#607131	AL-GAZALI-BAKALINOVA SYNDROME; AGBK		15q26.1		
#607151	MOYAMOYA DISEASE 2; MYMY2		17q25.3		
#607196	MICROCEPHALY, AMISH TYPE; MCPHA		17q25.1		
#600072	FATAL FAMILIAL INSOMNIA; FFI		20p13		
#609053	FANCONI ANEMIA, COMPLEMENTATION GROUP I; FANCI		15q26.1		
#609152	HYPERTHYROIDISM, NONAUTOIMMUNE		14q31.1		
#130060	EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 1; EDSARTH1		17q21.33		
#130720	LATERAL MENINGOCELE SYNDROME; LMNS		19p13.12		
#131300	CAMURATI-ENGELMANN DISEASE; CAEND		19q13.2		
#132900	AORTIC ANEURYSM, FAMILIAL THORACIC 4; AAT4		16p13.11		
#133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1		9p24.1, 12q24.12, 19p13.2		
#136140	FLOATING-HARBOR SYNDROME; FLHS		16p11.2		
#137440	GERSTMANN-STRAUSSLER DISEASE; GSD	CEREBRAL AMYLOID ANGIOPATHY, PRNP-RELATED, INCLUDED	20p13		
#137940	HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA-RENAL DEFECT SYNDROME; HLTRS		20q13.33		
#139210	MYHRE SYNDROME; MYHRS		18q21.2		
#139393	GUILLAIN-BARRE SYNDROME, FAMILIAL; GBS	POLYNEUROPATHY, INFLAMMATORY DEMYELINATING, CHRONIC, INCLUDED; CIDP, INCLUDED	17p12		
#141500	MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1	MIGRAINE, FAMILIAL HEMIPLEGIC 1, WITH PROGRESSIVE CEREBELLAR ATAXIA, INCLUDED	19p13.13		
#141750	ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, CHROMOSOME 16-RELATED		16pter-p13.3		
#142946	HOLOPROSENCEPHALY 4; HPE4		18p11.31		
#143465	ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD		4p16.1, 5p13, 6q12, 11p15.5, 16p13, 17p11		
#143880	HYPERCALCEMIA, INFANTILE, 1; HCINF1		20q13.2		
#145600	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1; MHS1	KING SYNDROME, INCLUDED	19q13.2		
#145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS		1q23.3, 10q21.3, 17p12, 19q13.2		
#146390	CHROMOSOME 18p DELETION SYNDROME		18p		
#147430	MARSILI SYNDROME; MARSIS		14q11.2		
#148050	KBG SYNDROME; KBGS		16q24.3		
#152700	SYSTEMIC LUPUS ERYTHEMATOSUS; SLE	EXCESS LYMPHOCYTE LOW MOLECULAR WEIGHT DNA, INCLUDED	1p13.2, 1q23.3, 1q23.3, 2q33.2, 3p21.31, 16p13.3		
#157600	MIRROR MOVEMENTS 1; MRMV1		18q21.2		
#157640	PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 1; PEOA1		15q26.1		
#158600	SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 1, AUTOSOMAL DOMINANT; SMALED1		14q32.31		
#160150	MYOPATHY, CENTRONUCLEAR, 1; CNM1		3p25.3, 19p13.2		
#160900	MYOTONIC DYSTROPHY 1; DM1		19q13.32		
#161400	NARCOLEPSY 1; NRCLP1	CATAPLEXY, INCLUDED	17q21.2		
#162100	AMYOTROPHY, HEREDITARY NEURALGIC; HNA		17q25.3		
#162200	NEUROFIBROMATOSIS, TYPE I; NF1		17q11.2		
#162210	NEUROFIBROMATOSIS, FAMILIAL SPINAL		17q11.2		
#162350	CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT; CLN4B		20q13.33		
#162500	NEUROPATHY, HEREDITARY, WITH LIABILITY TO PRESSURE PALSIES; HNPP		17p12		
#164230	OBSESSIVE-COMPULSIVE DISORDER; OCD		13q14.2, 17q11.2		
#165300	OPTIC ATROPHY 3, AUTOSOMAL DOMINANT; OPA3		19q13.32		
#166600	OSTEOPETROSIS, AUTOSOMAL DOMINANT 2; OPTA2		16p13.3		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#170100	PROLIDASE DEFICIENCY		19q13.11		
#170390	ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARALYSIS		17q24.3		
#171300	PHEOCHROMOCYTOMA		1p36.22, 1p36.13, 2q11.2, 3p25.3, 5p13.2, 10q11.21, 11q23.1, 14q23.3		
#172700	PICK DISEASE OF BRAIN		14q24.2, 17q21.31		
#174050	POLYCYSTIC LIVER DISEASE 1 WITH OR WITHOUT KIDNEY CYSTS; PCLD1		19p13.2		
#175050	JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME; JPHT		18q21.2		
#175780	BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES; BSVD1		13q34		
#176270	PRADER-WILLI SYNDROME; PWS	PRADER-WILLI SYNDROME CHROMOSOME REGION, INCLUDED; PWCR, INCLUDED	15q11.2, 15q11.2		
#176500	CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 1		13q14.2		
#176920	PROTEUS SYNDROME	ELATTOPROTEUS SYNDROME, INCLUDED	14q32.33		
#177170	PSEUDOACHONDROPLASIA; PSACH		19p13.11		
#177850	PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE	PSEUDOXANTHOMA ELASTICUM, HETEROZYGOUS, INCLUDED	16p13.11		
#180800	ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA		1q23.3, 17p12		
#180849	RUBINSTEIN-TAYBI SYNDROME 1; RSTS1		16p13.3		
#181500	SCHIZOPHRENIA; SCZD		1p36.2, 1p36.22, 1q32.1, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 13q14.2, 13q32, 13q33.2, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3		
#182290	SMITH-MAGENIS SYNDROME; SMS	SMITH-MAGENIS SYNDROME CHROMOSOME REGION, INCLUDED; SMCR, INCLUDED	17p11.2		
#182600	SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT; SPG3A		14q22.1		
#182940	NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO; NTD	SPINA BIFIDA, INCLUDED	1p13.1, 1q23.2, 6q27, 17q12, 19q13.33		
#182980	SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE; SMAFK		20q13.32		
#183086	SPINOCEREBELLAR ATAXIA 6; SCA6		19p13.13		
#184260	ODONTOCHONDRODYSPLASIA; ODCD		14q32.12		
#184900	STIFF SKIN SYNDROME; SSKS		15q21.1		
#185800	SYMPHALANGISM, PROXIMAL, 1A; SYM1A		17q22		
#191800	BLADDER DYSFUNCTION, AUTONOMIC, WITH IMPAIRED PUPILLARY REFLEX AND SECONDARY CAKUT; BAIPRCK		15q25.1		
#193520	WATSON SYNDROME; WTSN		17q11.2		
#193700	ARTHROGRYPOSIS, DISTAL, TYPE 2A; DA2A		17p13.1		
#200700	CHONDRODYSPLASIA, GREBE TYPE		20q11.22		
#200990	ACROCALLOSAL SYNDROME; ACLS	JOUBERT SYNDROME 12, INCLUDED; JBTS12, INCLUDED	15q26.1		
#201475	ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF; ACADVLD		17p13.1		
#202200	GLUCOCORTICOID DEFICIENCY 1; GCCD1		18p11.21		
#203450	ALEXANDER DISEASE; ALXDRD		17q21.31		
#203700	MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE); MTDPS4A		15q26.1		
#204000	LEBER CONGENITAL AMAUROSIS 1; LCA1		17p13.1		
#204200	CEROID LIPOFUSCINOSIS, NEURONAL, 3; CLN3		16p12.1		
#204300	CEROID LIPOFUSCINOSIS, NEURONAL, 4A, AUTOSOMAL RECESSIVE; CLN4A		15q23		
#206920	MICROPHTHALMIA WITH LIMB ANOMALIES; MLA		14q24.2		
#208050	ARTERIAL TORTUOSITY SYNDROME; ATORS		20q13.12		
#208085	ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 1; ARCS1		15q26.1		
#209880	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS	ONDINE-HIRSCHSPRUNG DISEASE, INCLUDED; OHD, INCLUDED	4p13, 5p13.2, 10q11.21, 12q23.2, 20q13.32		
#209920	BARE LYMPHOCYTE SYNDROME, TYPE II	BARE LYMPHOCYTE SYNDROME, TYPE II, COMPLEMENTATION GROUP A, INCLUDED	1q21.3, 13q13.3, 16p13.13, 19p13.11		
#210900	BLOOM SYNDROME; BLM		15q26.1		
#211380	ELSAHY-WATERS SYNDROME; ESWS		16q21		
#211500	FAZIO-LONDE DISEASE		20p13		
#211530	BROWN-VIALETTO-VAN LAERE SYNDROME 1; BVVLS1		20p13		
#212065	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A		16p13.2		
#212066	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIa; CDG2A		14q21.3		
#214450	GRISCELLI SYNDROME, TYPE 1; GS1		15q21.2		
#215470	BOUCHER-NEUHAUSER SYNDROME; BNHS		19p13.2		
#216360	COACH SYNDROME		4p15.32, 8q22.1, 16q12.2		
#218000	AGENESIS OF THE CORPUS CALLOSUM WITH PERIPHERAL NEUROPATHY; ACCPN		15q14		
#219080	ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA; AIMAH1		20q13.32		
#219090	PITUITARY ADENOMA 4, ACTH-SECRETING; PITA4		15q21.2		
#219800	CYSTINOSIS, NEPHROPATHIC; CTNS	CYSTINOSIS, INFANTILE NEPHROPATHIC, INCLUDED	17p13.2		
#600273	POLYCYSTIC KIDNEY DISEASE, INFANTILE SEVERE, WITH TUBEROUS SCLEROSIS; PKDTS		16p13.3		
