OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: X, Y)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#127300	LERI-WEILL DYSCHONDROSTEOSIS; LWD	MADELUNG DEFORMITY, INCLUDED	Xp22.33, Yp11.2		
#300088	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 9; DEE9		Xq22.1		
#300100	ADRENOLEUKODYSTROPHY; ALD	ADRENOMYELONEUROPATHY, INCLUDED; AMN, INCLUDED	Xq28		
#300106	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, X-LINKED; SEMDX		Xq28		
#300114	RAYNAUD-CLAES SYNDROME; MRXSRC		Xp22.2		
#300143	MENTAL RETARDATION, X-LINKED 21; MRX21		Xp21.3-p21.2		
#300148	MEHMO SYNDROME; MEHMO		Xp22.11		
#300166	MICROPHTHALMIA, SYNDROMIC 2; MCOPS2		Xp11.4		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#176807	PROSTATE CANCER		7p22.3, 10p15.2, 10q23.31, 10q25.2, 13q13.1, 16q22.1, 16q22.2-q22.3, 22q12.1, Xq12		
#194070	WILMS TUMOR 1; WT1		11p13, 13q13.1, Xq26.2		
#249700	LANGER MESOMELIC DYSPLASIA; LMD		Xp22.33, Yp11.2		
#300000	OPITZ GBBB SYNDROME, TYPE I; GBBB1		Xp22.2		
#300004	CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA		Xp21.3		
#300009	DENT DISEASE 1		Xp11.23		
#300018	46,XY SEX REVERSAL 2; SRXY2		Xp21.2		
#300048	INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, CHRONIC IDIOPATHIC, X-LINKED	CONGENITAL SHORT BOWEL SYNDROME, X-LINKED, INCLUDED	Xq28		
#300049	PERIVENTRICULAR NODULAR HETEROTOPIA 1; PVNH1	HETEROTOPIA, PERIVENTRICULAR NODULAR, WITH FRONTOMETAPHYSEAL DYSPLASIA, INCLUDED	Xq28		
#300055	MENTAL RETARDATION, X-LINKED, SYNDROMIC 13; MRXS13		Xq28		
#300066	DEAFNESS, X-LINKED 4; DFNX4		Xp22.12		
#300067	LISSENCEPHALY, X-LINKED, 1; LISX1	SUBCORTICAL LAMINAR HETEROTOPIA, X-LINKED, INCLUDED; SCLH, INCLUDED	Xq23		
#300068	ANDROGEN INSENSITIVITY SYNDROME; AIS		Xq12		
#300071	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 2A; CSNB2A		Xp11.23		
#300200	ADRENAL HYPOPLASIA, CONGENITAL; AHC		Xp21.2		
#300209	SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 2; SGBS2		Xp22.2		
#300210	MENTAL RETARDATION, X-LINKED 58; MRX58		Xp11.4		
#300215	LISSENCEPHALY, X-LINKED, 2; LISX2	HYDRANENCEPHALY AND ABNORMAL GENITALIA, INCLUDED	Xp21.3		
#300232	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, X-LINKED, WITH HYPOMYELINATING LEUKODYSTROPHY; SEMDHL		Xq26.1		
#300238	MENTAL RETARDATION, X-LINKED, SYNDROMIC 11; MRXS11		Xq26.3		
#300243	MENTAL RETARDATION, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE; MRXSCH		Xq26.3		
#300244	TERMINAL OSSEOUS DYSPLASIA; TOD		Xq28		
#300257	DANON DISEASE		Xq24		
#300260	LUBS X-LINKED MENTAL RETARDATION SYNDROME; MRXSL		Xq28		
#300261	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA		Xq28	X:148000000-156040895	
#300263	SIDERIUS X-LINKED MENTAL RETARDATION SYNDROME; MRXSSD		Xp11.22		
#300271	MENTAL RETARDATION, X-LINKED 72; MRX72		Xq28		
#300280	URUGUAY FACIOCARDIOMUSCULOSKELETAL SYNDROME; FCMSU		Xq26.3		
#300291	ECTODERMAL DYSPLASIA AND IMMUNODEFICIENCY 1; EDAID1		Xq28		
#300299	NEUTROPENIA, SEVERE CONGENITAL, X-LINKED; SCNX		Xp11.23		
#300310	IMMUNODEFICIENCY 61; IMD61		Xp22.12		
#300321	FG SYNDROME 2; FGS2		Xq28		
#300322	LESCH-NYHAN SYNDROME; LNS	HPRT DEFICIENCY, NEUROLOGIC VARIANT, INCLUDED	Xq26.2-q26.3		
