OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 6, 7, 8, 9)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#101400	SAETHRE-CHOTZEN SYNDROME; SCS	SAETHRE-CHOTZEN SYNDROME WITH EYELID ANOMALIES, INCLUDED	7p21.1, 10q26.13		
#101600	PFEIFFER SYNDROME	CRANIOFACIAL-SKELETAL-DERMATOLOGIC DYSPLASIA, INCLUDED	8p11.23, 10q26.13		
#103900	HYPERALDOSTERONISM, FAMILIAL, TYPE I; HALD1		8q24.3		
#104100	PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1; PPKCA1		6q22.31		
#104300	ALZHEIMER DISEASE; AD	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED	6p22.2, 7q36.1, 10q22.2, 12p13.31, 17q22, 21q21.3		
#105120	AMYLOIDOSIS, FINNISH TYPE	CEREBRAL AMYLOID ANGIOPATHY, GSN-RELATED, INCLUDED	9q33.2		
#105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1		9p21.2		
#106300	SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1; SPDA1		6p21.33		
#108010	ARTERIOVENOUS MALFORMATIONS OF THE BRAIN	INTRACRANIAL HEMORRHAGE IN BRAIN ARTERIOVENOUS MALFORMATIONS, SUSCEPTIBILITY TO, INCLUDED	7p15.3, 12p12.1		
#108120	ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A	ARTHROGRYPOSIS, DISTAL, TYPE 2B4, INCLUDED; DA2B4, INCLUDED	9p13.3		
#109400	BASAL CELL NEVUS SYNDROME; BCNS		1p34.1, 9q22.32, 10q24.32		
#109730	AORTIC VALVE DISEASE 1; AOVD1		9q34.3		
#110800	BLOOD GROUP, I SYSTEM; Ii	ADULT i PHENOTYPE, INCLUDED	6p24.3-p24.2		
#112250	DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA; DMSMFH		9p21.3		
#113000	BRACHYDACTYLY, TYPE B1; BDB1		9q22.31		
#113620	BRANCHIOOCULOFACIAL SYNDROME; BOFS		6p24.3		
#113650	BRANCHIOOTORENAL SYNDROME 1; BOR1		8q13.3		
#113970	BURKITT LYMPHOMA; BL		8q24.21		
#114480	BREAST CANCER	BREAST CANCER, FAMILIAL MALE, INCLUDED	1p34.1, 2q33.1, 2q35, 3q26.32, 5q34, 6p25.2, 6q25.1-q25.2, 8q11.23, 11p15.4, 11q22.3, 12p12.1, 13q13.1, 14q32.33, 14q32.33, 15q15.1, 16p12.2, 16q22.1, 17p13.1, 17q21.33, 17q23.2, 17q23.2, 22q12.1		
#114500	COLORECTAL CANCER; CRC		1p36.13, 1p13.2, 2q13, 3p22.1, 3q26.32, 4p16.3, 4q31.3, 5q22.2, 5q22.2, 7q11.23, 8p22, 8p22, 8q22.1, 11p11.2, 11q13.3, 14q24.3, 14q32.33, 15q15.1, 17p13.1, 17p11.2, 17q24.1, 18q21.2, 19q13.33, 20q11.23, 20q13.2, 22q13.2		
#114550	HEPATOCELLULAR CARCINOMA	HEPATOBLASTOMA, INCLUDED	2q33.1, 3p22.1, 3q26.32, 5q22.2, 6q25.3, 7q31.2, 8p22, 16p13.3, 17p13.1		
#115150	CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1		7q34		
#116700	CATARACT 13 WITH ADULT i PHENOTYPE; CTRCT13		6p24.3-p24.2		
#116860	CEREBRAL CAVERNOUS MALFORMATIONS; CCM	CEREBRAL CAVERNOUS MALFORMATIONS 1, INCLUDED; CCM1, INCLUDED	7q21.2		
#118100	KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT; KFS1		8q22.1		
#119600	CLEIDOCRANIAL DYSPLASIA; CCD	CLEIDOCRANIAL DYSPLASIA, FORME FRUSTE, WITH BRACHYDACTYLY, INCLUDED	6p21.1		
#121201	SEIZURES, BENIGN FAMILIAL NEONATAL, 2; BFNS2		8q24.22		
#123100	CRANIOSYNOSTOSIS 1; CRS1		7p21.1		
#123150	JACKSON-WEISS SYNDROME; JWS		8p11.23, 10q26.13		
#123400	CREUTZFELDT-JAKOB DISEASE; CJD	CREUTZFELDT-JAKOB DISEASE, SPORADIC, INCLUDED; sCJD, INCLUDED	6p21.32, 20p13		
#123700	CUTIS LAXA, AUTOSOMAL DOMINANT 1; ADCL1		7q11.23		
#124480	DEAFNESS, CONGENITAL, WITH ONYCHODYSTROPHY, AUTOSOMAL DOMINANT; DDOD		8p21.3		
#125400	DENTIN DYSPLASIA, TYPE I; DTDP1	DENTIN DYSPLASIA, TYPE I, WITH EXTREME MICRODONTIA AND MISSHAPEN TEETH, INCLUDED	6q27		
#125851	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2; MODY2		7p13		
#125853	TYPE 2 DIABETES MELLITUS; T2D	INSULIN RESISTANCE, SUSCEPTIBILITY TO, INCLUDED	2q24.1, 2q31.3, 2q36.3, 3p25.2, 3q26.2, 3q27.2, 4p16.1, 5q34-q35.2, 6p21.31, 6q23.2, 7p13, 7q31.1, 7q32.1, 8q24.11, 10q25.2-q25.3, 11p15.1, 11p15.1, 11p11.2, 11q14.3, 12q24.31, 13q12.2, 13q34, 15q21.3, 17q12, 19p13.2, 19q13.2, 20q13.12, 20q13.13		
#126200	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO; MS	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 1, INCLUDED; MS1, INCLUDED	2q37.3, 6p21.32, 6p21.32		
#127500	DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 1; DUH1		6q24.2-q25.2	6:142200000-155200000	
#128100	DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT; DYT1		9q34.11		
#130000	EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 1; EDSCL1		9q34.3		
#180100	RETINITIS PIGMENTOSA 1; RP1		8q11.2-q12.1		
#180104	RETINITIS PIGMENTOSA 9; RP9		7p14.3		
#180105	RETINITIS PIGMENTOSA 10; RP10		7q32.1		
#180300	RHEUMATOID ARTHRITIS; RA		6q23	6:130000000-138300000	
#601552	FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB		8q12.3		
#601583	WILMS TUMOR 5; WT5		7p14.1		
#601626	LEUKEMIA, ACUTE MYELOID; AML	LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO, INCLUDED	2p23.3, 3q21.3, 3q27-q28, 4q12, 4q12, 5p15.33, 5q35.1, 9p24.1, 9q34.13, 10p12.31, 11q14.2, 12p13.2, 12p12.1, 13q12.2, 16q22.1, 19p13.3, 19q13.11, 21q22.12		
#601631	ANTERIOR SEGMENT DYSGENESIS 3; ASGD3		6p25.3		
#220110	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 1; MC4DN1		9q34.2		
#220210	RITSCHER-SCHINZEL SYNDROME 1; RTSC1		8q24.13		
#220600	SPLIT-HAND/FOOT MALFORMATION 1 WITH SENSORINEURAL HEARING LOSS, AUTOSOMAL RECESSIVE; SHFM1D		7q21.3		
#221750	PITUITARY HORMONE DEFICIENCY, COMBINED, 3; CPHD3		9q34.3		
#222730	DICARBOXYLIC AMINOACIDURIA; DCBXA		9p24.2		
#222748	DIHYDROPYRIMIDINASE DEFICIENCY; DPYSD		8q22.3		
#222800	ERYTHROCYTOSIS, FAMILIAL, 8; ECYT8		7q33		
#223360	ORTHOSTATIC HYPOTENSION 1; ORTHYP1		9q34.2		
#223900	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE III; HSAN3		9q31.3		
#224050	CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 1; CAMRQ1		9p24.2		
#225320	EHLERS-DANLOS SYNDROME, CARDIAC VALVULAR TYPE; EDSCV		7q21.3		
#603284	CEREBRAL CAVERNOUS MALFORMATIONS 2; CCM2		7p13		
#607136	SPINOCEREBELLAR ATAXIA 17; SCA17		6q27		
#600110	STARGARDT DISEASE 3; STGD3		6q14.1		
#600116	PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE; PARK2		6q26		
#130900	AMELOGENESIS IMPERFECTA, TYPE IIIA; AI3A		8q24.3		
#131950	EPIDERMOLYSIS BULLOSA SIMPLEX, OGNA TYPE; EBSOG		8q24.3		
#132800	MULTIPLE SELF-HEALING SQUAMOUS EPITHELIOMA, SUSCEPTIBILITY TO; MSSE		9q22.33		
#133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1		9p24.1, 12q24.12, 19p13.2		
#133190	SPINOCEREBELLAR ATAXIA 34; SCA34		6q14.1		
#133239	ESOPHAGEAL CANCER	ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED	3p24.1, 8p21.3, 13q12.13, 16q23.1-q23.2, 18q21.2		
#133700	EXOSTOSES, MULTIPLE, TYPE I; EXT1		8q24.11		
#135750	LAURIN-SANDROW SYNDROME; LSS	LAURIN-SANDROW SYNDROME, SEGMENTAL, INCLUDED	7q36.3		
#135900	COFFIN-SIRIS SYNDROME 1; CSS1		6q25.3		
#136550	MACULAR DYSTROPHY, RETINAL, 1, NORTH CAROLINA TYPE; MCDR1		6q16.2		
#136880	FUNDUS ALBIPUNCTATUS	RETINITIS PUNCTATA ALBESCENS, INCLUDED	3q22.1, 6p21.1, 12q13.2, 15q26.1		
#140000	HAND-FOOT-GENITAL SYNDROME; HFG		7p15.2		
#142945	HOLOPROSENCEPHALY 3; HPE3		7q36.3		
#143400	CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 2; CAKUT2		6q14.3		
#143465	ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD		4p16.1, 5p13, 6q12, 11p15.5, 16p13, 17p11		
#143890	HYPERCHOLESTEROLEMIA, FAMILIAL, 1; FHCL1	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 2, INCLUDED; LDLCQ2, INCLUDED	1q23.3, 5p13-p12, 7p14.3, 8p21.2-p21.1, 19p13.2		
#144250	HYPERLIPIDEMIA, FAMILIAL COMBINED, 3; FCHL3		8p21.3		
#144755	HYPEROSTOSIS CRANIALIS INTERNA; HCIN		8p21.3		
#145500	HYPERTENSION, ESSENTIAL		1p36.12, 1q23.3, 1q24.2, 1q42.2, 2p25-p24, 3q24, 4p16.3, 5p13-q12, 7q22.1, 7q36.1, 12p13.31, 12p12.2-p12.1, 15q, 17q, 20q11-q13, 20q13.13		
#146510	PALLISTER-HALL SYNDROME; PHS		7p14.1		
#146520	HYPOTRICHOSIS 2; HYPT2		6p21.33		
#146550	HYPOTRICHOSIS 4; HYPT4		8p21.3		
#147050	IgE RESPONSIVENESS, ATOPIC; IGER	IgE, ELEVATED LEVEL OF, INCLUDED	6p12.3, 11q12.1, 16p12.1, 16p12.1		
#147250	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR; SMMCI	SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR SYNDROME, INCLUDED	7q36.3		
#147630	INSULINOMATOSIS AND DIABETES MELLITUS; INSDM		8q24.3		
#147950	HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA; HH2		8p11.23		
#148000	KAPOSI SARCOMA, SUSCEPTIBILITY TO	MULTICENTRIC CASTLEMAN DISEASE, SUSCEPTIBILITY TO, INCLUDED; MCD, INCLUDED	7p15.3		
#148370	KERATOLYTIC WINTER ERYTHEMA; KWE		8p23.1		
#150230	TRICHORHINOPHALANGEAL SYNDROME, TYPE II; TRPS2		8q24.11-q24.13	8:116700000-126300000	
#151050	LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM; LMHD		8q22.1		
#151200	CHROMOSOME 8q22.1 DUPLICATION SYNDROME		8q22.1	8:92300000-97900000	
#155601	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2; CMM2		9p21.3		
#155755	MELANOMA-ASTROCYTOMA SYNDROME		9p21.3		
#156500	METAPHYSEAL CHONDRODYSPLASIA, SCHMID TYPE; MCDS		6q22.1		
#156510	METAPHYSEAL DYSPLASIA WITH MAXILLARY HYPOPLASIA WITH OR WITHOUT BRACHYDACTYLY; MDMHB		6p21.1		
#156610	SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 1; CSCSC1		6p21.33		
#157800	CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF		6q15		
#158170	CHROMOSOME 9p DELETION SYNDROME		9p		
#159550	ATAXIA-PANCYTOPENIA SYNDROME; ATXPC		7q21.2		
#159900	DYSTONIA 11, MYOCLONIC; DYT11		7q21.3		
#159950	SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY; SMAPME		8p22		
#160800	MYOTONIA CONGENITA, AUTOSOMAL DOMINANT	MYOTONIA LEVIOR, INCLUDED	7q34		
#161050	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 1; NDNC1	NAIL GROWTH, INCLUDED	8q22.3		
#161200	NAIL-PATELLA SYNDROME; NPS		9q33.3		
#162400	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A		9q22.31		
#163000	CAPILLARY MALFORMATIONS, CONGENITAL; CMC		9q21.2		
#164200	OCULODENTODIGITAL DYSPLASIA; ODDD		6q22.31		
#164310	OCULOPHARYNGODISTAL MYOPATHY 1; OPDM1		8q22.3		
#164400	SPINOCEREBELLAR ATAXIA 1; SCA1		6p22.3		
#165510	OPTIC ATROPHY 13 WITH RETINAL AND FOVEAL ABNORMALITIES; OPA13		7q34		
#166210	OSTEOGENESIS IMPERFECTA, TYPE II; OI2		7q21.3, 17q21.33		
#166220	OSTEOGENESIS IMPERFECTA, TYPE IV; OI4		7q21.3, 17q21.33		
#166250	OSTEOGLOPHONIC DYSPLASIA; OGD		8p11.23		
#166710	OSTEOPOROSIS	FRACTURE, HIP, SUSCEPTIBILITY TO, INCLUDED	5q31.1, 7q21.3, 7q21.3, 11p12, 11q13.2, 17q21.33, 20p12.3		
#166780	OTOFACIOCERVICAL SYNDROME 1; OTFCS		8q13.3		
#167000	OVARIAN CANCER	OVARIAN CANCER, EPITHELIAL, INCLUDED	3p22.1, 3q26.32, 6q26, 11q25, 14q32.33, 16q22.1		
#167320	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 1; IBMPFD1		9p13.3		
#167800	PANCREATITIS, HEREDITARY; PCTT	PANCREATITIS, CHRONIC, SUSCEPTIBILITY TO, INCLUDED	1p36.21, 5q32, 7q31.2, 7q34, 7q34		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#169100	CHAR SYNDROME; CHAR		6p12.3		
#169150	MACULAR DYSTROPHY, PATTERNED, 1; MDPT1		6p21.1		
