OMIM Search - '+cs_neurologic_exists:true (Search in: Prefixes: #, Chromosomes: 1, 2, 3, 4, 5)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#100300	ADAMS-OLIVER SYNDROME 1; AOS1	APLASIA CUTIS CONGENITA, CONGENITAL HEART DEFECT, AND FRONTONASAL CYSTS, INCLUDED	3q13.32-q13.33		
#100800	ACHONDROPLASIA; ACH		4p16.3		
#102500	HAJDU-CHENEY SYNDROME; HJCYS		1p12		
#103780	ALCOHOL DEPENDENCE	ALCOHOL DEPENDENCE, PROTECTION AGAINST, INCLUDED	4p12, 4q23, 4q23, 13q14.2		
#104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1		1q23.2		
#105200	AMYLOIDOSIS, FAMILIAL VISCERAL		4q31.3, 11q23.3, 12q15, 15q21.1		
#105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED	2p13.1, 12q13.12, 21q22.11, 22q12.2		
#106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE; AEC		3q28		
#108720	ATELOSTEOGENESIS, TYPE I; AO1		3p14.3		
#109400	BASAL CELL NEVUS SYNDROME; BCNS		1p34.1, 9q22.32, 10q24.32		
#115200	CARDIOMYOPATHY, DILATED, 1A; CMD1A		1q22		
#115310	PARAGANGLIOMAS 4; PGL4		1p36.13		
#117360	SPINOCEREBELLAR ATAXIA 29; SCA29		3p26.1		
#117550	SOTOS SYNDROME 1; SOTOS1		5q35.3		
#118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B		1q23.3		
#118210	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A1; CMT2A1		1p36.22		
#118800	PAROXYSMAL NONKINESIGENIC DYSKINESIA 1; PNKD1		2q35		
#120100	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 1; FCAS1		1q44		
#121050	CONTRACTURAL ARACHNODACTYLY, CONGENITAL; CCA		5q23.3		
#121300	COPROPORPHYRIA, HEREDITARY; HCP		3q11.2		
#122470	CORNELIA DE LANGE SYNDROME 1; CDLS1		5p13.2		
#123000	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CMDD		5p15.2		
#124000	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 1; MC3DN1		2q35		
#125250	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY		3q29		
#126200	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO; MS	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 1, INCLUDED; MS1, INCLUDED	2q37.3, 6p21.32, 6p21.32		
#126550	CALVARIAL DOUGHNUT LESIONS WITH BONE FRAGILITY; CDL	CALVARIAL DOUGHNUT LESIONS WITH BONE FRAGILITY AND SPONDYLOMETAPHYSEAL DYSPLASIA, INCLUDED; CDLSMD, INCLUDED	4q25		
#127750	DEMENTIA, LEWY BODY; DLB	DIFFUSE LEWY BODY DISEASE WITH GAZE PALSY, INCLUDED	1q22, 4q22.1, 5q35.2		
#601559	STUVE-WIEDEMANN SYNDROME; STWS		5p13.1		
#601596	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4C; CMT4C		5q32		
#220111	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 5; MC4DN5		2p21		
#220120	D-GLYCERIC ACIDURIA		3p21.2		
#221820	LEUKOENCEPHALOPATHY, HEREDITARY DIFFUSE, WITH SPHEROIDS; HDLS		5q32		
#222300	WOLFRAM SYNDROME 1; WFS1		4p16.1		
#222448	DONNAI-BARROW SYNDROME		2q31.1		
#222470	TRICHOHEPATOENTERIC SYNDROME 1; THES1		5q15		
#222600	DIASTROPHIC DYSPLASIA; DTD	DIASTROPHIC DYSPLASIA, BROAD BONE-PLATYSPONDYLIC VARIANT, INCLUDED	5q32		
#222765	RHIZOMELIC CHONDRODYSPLASIA PUNCTATA, TYPE 2; RCDP2		1q42.2		
#224500	DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE; DYT2		1p35.1		
#224690	MEIER-GORLIN SYNDROME 1; MGORS1		1p32.3		
#225250	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 5; CHNG5		5q35.1		
