OMIM Search - '+cs_neurologic:("mental retardation" OR "cognitive impairment" OR "intellectual impairment" OR "impaired intellectual development" OR "intellectual disability" OR "mentally retarded" OR "cognitive delay" OR "Delayed intellectual development" OR "Delayed cognitive development" OR "Cognitive deficits" OR "Mental deficiency" OR "intellectual decline" OR "Cognitive dysfunction" OR "Cognitive decline" OR "Cognitive function loss" OR "Cognitive defects" OR "Cognitive deterioration" OR "Cognitive regression" OR "Cognitive disability" OR "Cognitive development may be significantly impaired or normal" OR "Impaired cognitive development" OR "No cognitive development" OR "Intellectual developmental impairment" OR "Intellectual deterioration" OR "Intellectual delay" OR "Impaired or absent intellectual development" OR "Intellectual developmental deficit" OR "Mental deterioration" OR "Mental lethargy" OR "Mental impairment" OR "Mental delay or retardation" OR "Retarded mental development" OR "Progressive mental and motor deterioration" OR "Mental and motor retardation") (Search in: Prefixes: #, Chromosomes: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#618242	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 21; MC1DN21		14q12		
#268800	SANDHOFF DISEASE	SANDHOFF DISEASE, ADULT TYPE, INCLUDED	5q13.3		
#214500	CHEDIAK-HIGASHI SYNDROME; CHS		1q42.3		
#618476	BRAIN ABNORMALITIES, NEURODEGENERATION, AND DYSOSTEOSCLEROSIS; BANDDOS		5q32		
#617145	NEURODEGENERATION WITH ATAXIA, DYSTONIA, AND GAZE PALSY, CHILDHOOD-ONSET; NADGP		5q35.3		
#613647	SPASTIC PARAPLEGIA 48, AUTOSOMAL RECESSIVE; SPG48		7p22.1		
#601367	STROKE, ISCHEMIC		1q24.2, 7q36.1, 11p11.2, 13q12.3, 14q23.1		
#618342	INTELLECTUAL DEVELOPMENTAL DISORDER WITH ABNORMAL BEHAVIOR, MICROCEPHALY, AND SHORT STATURE; IDDABS		7q22.3		
#613735	BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD	CHROMOSOME 1p32-p31 DELETION SYNDROME, INCLUDED	1p31.3		
#270700	SPASTIC PARAPLEGIA 15, AUTOSOMAL RECESSIVE; SPG15		14q24.1		
#104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1		1q23.2		
#182601	SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT; SPG4		2p22.3		
#241080	WOODHOUSE-SAKATI SYNDROME; WDSKS		2q31.1		
#256730	CEROID LIPOFUSCINOSIS, NEURONAL, 1; CLN1	NEURONAL CEROID LIPOFUSCINOSIS, INFANTILE, INCLUDED; INCL, INCLUDED	1p34.2		
#613002	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 2; IIAE2		4q35.1		
#610127	CEROID LIPOFUSCINOSIS, NEURONAL, 10; CLN10	NEURONAL CEROID LIPOFUSCINOSIS, CONGENITAL, INCLUDED	11p15.5		
#613925	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2A; MLC2A		11q24.2		
#614409	SPASTIC PARAPLEGIA 46, AUTOSOMAL RECESSIVE; SPG46		9p13.3		
#604360	SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSIVE; SPG11		15q21.1		
#617808	COFFIN-SIRIS SYNDROME 6; CSS6		12q12		
#238700	HYPERLYSINEMIA, TYPE I		7q31.32		
#256731	CEROID LIPOFUSCINOSIS, NEURONAL, 5; CLN5	NEURONAL CEROID LIPOFUSCINOSIS, LATE INFANTILE, FINNISH VARIANT, INCLUDED	13q22.3		
#607454	SPINOCEREBELLAR ATAXIA 21; SCA21		1p36.33		
#615528	PARKINSON DISEASE 19A, JUVENILE-ONSET; PARK19A	PARKINSON DISEASE 19B, EARLY-ONSET, INCLUDED; PARK19B, INCLUDED	1p31.3		
#615985	BARDET-BIEDL SYNDROME 8; BBS8		14q31.3		
#615993	BARDET-BIEDL SYNDROME 16; BBS16		1q43-q44		
#208400	ASPARTYLGLUCOSAMINURIA; AGU		4q34.3		
#607014	HURLER SYNDROME		4p16.3		
#610003	CEROID LIPOFUSCINOSIS, NEURONAL, 8, NORTHERN EPILEPSY VARIANT		8p23.3		
#616739	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 51; MRT51		2q22.1		
#233400	PERRAULT SYNDROME 1; PRLTS1		5q23.1		
#618663	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 81; DEE81		15q21.2		
#615035	SPASTIC PARAPLEGIA 55, AUTOSOMAL RECESSIVE; SPG55		12q24.31		
#615889	LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE; LKENP		6p21.1		
#235400	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1	HEMOLYTIC UREMIC SYNDROME, TYPICAL, INCLUDED	1q31.3, 1q31.3, 1q31.3		
#613707	LEOPARD SYNDROME 3; LPRD3		7q34		
#221820	LEUKOENCEPHALOPATHY, HEREDITARY DIFFUSE, WITH SPHEROIDS; HDLS		5q32		
#168601	PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1	ATYPICAL PARKINSON DISEASE, INCLUDED	4q22.1		
#600795	FRONTOTEMPORAL DEMENTIA, CHROMOSOME 3-LINKED; FTD3		3p11.2		
#604218	ENCEPHALOPATHY, FAMILIAL, WITH NEUROSERPIN INCLUSION BODIES; FENIB		3q26.1		
#236690	HYDROCEPHALUS, NORMAL-PRESSURE, 1; HYDNP1		10q25.1		
#248900	MAST SYNDROME		15q22.31		
#249900	METACHROMATIC LEUKODYSTROPHY DUE TO SAPOSIN B DEFICIENCY		10q22.1		
#254900	EPILEPSY, PROGRESSIVE MYOCLONIC, 4, WITH OR WITHOUT RENAL FAILURE; EPM4		4q21.1		
#272750	GM2-GANGLIOSIDOSIS, AB VARIANT		5q33.1		
#606693	KUFOR-RAKEB SYNDROME; KRS		1p36.13		
#607060	PARKINSON DISEASE 8, AUTOSOMAL DOMINANT; PARK8		12q12		
#609260	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2A2A; CMT2A2A		1p36.22		
#610475	PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 2; PPNAD2		2q31.2		
#610951	CEROID LIPOFUSCINOSIS, NEURONAL, 7; CLN7		4q28.2		
#615362	CEROID LIPOFUSCINOSIS, NEURONAL, 13; CLN13		11q13.2		
#615924	ENCEPHALOPATHY, PROGRESSIVE, WITH OR WITHOUT LIPODYSTROPHY; PELD		11q12.3		
#616187	EPILEPSY, PROGRESSIVE MYOCLONIC 7; EPM7		11p15.1		
#616672	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 27; COXPD27		13q34		
#616840	PARKINSON DISEASE 23, AUTOSOMAL RECESSIVE EARLY-ONSET; PARK23		15q22.2		
#617225	SPASTIC PARAPLEGIA 78, AUTOSOMAL RECESSIVE; SPG78		1p36.13		
#617575	NEPHROTIC SYNDROME, TYPE 14; NPHS14		10q22.1		
#617900	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 8; IIAE8		12q14.2		
#618317	BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 7, AUTOSOMAL RECESSIVE; IBGC7		9p13.3		
#618369	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 27; SCAR27		1p12		
#618418	SPASTIC PARAPLEGIA 80, AUTOSOMAL DOMINANT; SPG80		9p13.3		
#618868	NEURODEGENERATION, CHILDHOOD-ONSET, WITH ATAXIA, TREMOR, OPTIC ATROPHY, AND COGNITIVE DECLINE; CONATOC		9q31.1-q31.2		
#618221	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 66; MRT66		12p13.32		
#230350	GALACTOSEMIA III; GALAC3		1p36.11		
#611936	CHROMOSOME 3q29 DUPLICATION SYNDROME		3q29	3:192600000-198295559	
#610031	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 7; CDCBM7		6p25.2		
#126200	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO; MS	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 1, INCLUDED; MS1, INCLUDED	2q37.3, 6p21.32, 6p21.32		
#164500	SPINOCEREBELLAR ATAXIA 7; SCA7		3p14.1		
#604187	SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10		12q13.3		
#615191	LISSENCEPHALY 5; LIS5		7q31.1		
#213200	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 2; SCAR2		9q34.3		
#600151	BARDET-BIEDL SYNDROME 3; BBS3		3q11.2		
#600462	MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 1; MLASA1		12q24.33		
#601390	VAN MALDERGEM SYNDROME 1; VMLDS1		11p15.4		
#601803	PALLISTER-KILLIAN SYNDROME; PKS	HEXASOMY 12p, MOSAIC, INCLUDED	12p		
#613406	WITTEVEEN-KOLK SYNDROME; WITKOS	CHROMOSOME 15q24 DELETION SYNDROME, INCLUDED	15q24.2		
#614207	HYPERPHOSPHATASIA WITH MENTAL RETARDATION SYNDROME 3; HPMRS3		11p15.4		
#614381	LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD8		12q23.3		
#614756	CEREBELLAR ATAXIA, NONPROGRESSIVE, WITH MENTAL RETARDATION; CANPMR		1p36.31-p36.23		
#615546	VAN MALDERGEM SYNDROME 2; VMLDS2		4q28.1		
#617090	MICROCEPHALY 17, PRIMARY, AUTOSOMAL RECESSIVE; MCPH17		12q24.23		
#617391	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54		1q44		
#603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	VANISHING WHITE MATTER LEUKODYSTROPHY WITH OVARIAN FAILURE, INCLUDED	1p34.1, 2p23.3, 3q27.1, 12q24.31, 14q24.3		
#611105	LEUKOENCEPHALOPATHY WITH BRAINSTEM AND SPINAL CORD INVOLVEMENT AND LACTATE ELEVATION; LBSL		1q25.1		
#613706	NOONAN SYNDROME 7; NS7		7q34		
#616192	ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS AND DIABETES MELLITUS; ACPHD		13q32.1		
#618049	PARKINSONISM-DYSTONIA, INFANTILE, 2; PKDYS2		10q25.3		
#222700	LYSINURIC PROTEIN INTOLERANCE; LPI		14q11.2		
#607694	LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD7		10q22.3		
#231000	GAUCHER DISEASE, TYPE III; GD3	GAUCHER DISEASE, TYPE IIIA, INCLUDED	1q22		
#220110	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 1; MC4DN1		9q34.2		
#150550	PERIODIC FEVER, IMMUNODEFICIENCY, AND THROMBOCYTOPENIA SYNDROME; PFITS		4p16.1		
#213000	CEREBELLAR HYPOPLASIA/ATROPHY, EPILEPSY, AND GLOBAL DEVELOPMENTAL DELAY; CHEGDD		8q23.1		
#601224	POTOCKI-SHAFFER SYNDROME		11p11.2	11:43400000-48800000	
#601536	ATHABASKAN BRAINSTEM DYSGENESIS SYNDROME; ABDS	BOSLEY-SALIH-ALORAINY SYNDROME, INCLUDED; BSAS, INCLUDED	7p15.2		
#603736	OHDO SYNDROME, SBBYS VARIANT; SBBYSS		10q22.2		
#226960	LOWRY-WOOD SYNDROME; LWS		2q14.2		
#606053	INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISM AND SPEECH DELAY; IDDAS		2q24.2		
#606220	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE, FACIAL ANOMALIES, AND SPEECH DEFECTS; IDDSFAS		13q22.3		
#607208	DRAVET SYNDROME; DRVT		2q24.3		
#612164	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4		9q34.11		
#613721	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 11; DEE11		2q24.3		
#614306	COGNITIVE IMPAIRMENT WITH OR WITHOUT CEREBELLAR ATAXIA; CIAT		12q13.13		
#615074	GAND SYNDROME; GAND		1q21.3		
#615705	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 15; SCAR15		3q29		
#615828	VULTO-VAN SILFHOUT-DE VRIES SYNDROME; VSVS		11p15.5		
#616239	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 24; COXPD24		11q14.1		
#616682	SEIZURES, SCOLIOSIS, AND MACROCEPHALY/MICROCEPHALY SYNDROME; SSMS		11p11.2		
#617020	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 38; DEE38		1q42.2		
#617171	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND IMPAIRED EXPRESSIVE LANGUAGE AND WITH OR WITHOUT SEIZURES; NEDHELS		11p15.5		
#618135	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 8; MDDGC8		3p22.1		
#618141	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 67; EIEE67		12q24.11-q24.12		
#618147	INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF	CHROMOSOME 14q32 DELETION SYNDROME, INCLUDED	14q32.2		
#618158	INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD		11q13.5-q14.1		
#618170	NEURODEGENERATION, CHILDHOOD-ONSET, STRESS-INDUCED, WITH VARIABLE ATAXIA AND SEIZURES; CONDSIAS		1p34.3		
#618179	MICROCEPHALY 24, PRIMARY, AUTOSOMAL RECESSIVE; MCPH24		12q23.2		
#618198	MYASTHENIC SYNDROME, CONGENITAL, 24, PRESYNAPTIC; CMS24		15q23		
#618218	BAKER-GORDON SYNDROME; BAGOS		12q21.2		
#618226	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 5; MC1DN5		2q33.3		
#618234	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 11; MC1DN11		15q15.1		
#618248	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 27; MC1DN27		15q22.31		
#618276	NEURODEGENERATION, CHILDHOOD-ONSET, WITH CEREBELLAR ATROPHY; CONDCA		9q21.33		
#618284	MICROCEPHALY, CATARACTS, IMPAIRED INTELLECTUAL DEVELOPMENT, AND DYSTONIA WITH ABNORMAL STRIATUM; MCIDDS		11p14.1		
#618285	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 69; EIEE69		1q25.3		
#618291	SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 2B, PRENATAL ONSET, AUTOSOMAL DOMINANT; SMALED2B		9q22.31		
