OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 18, 19, 20, 21, 22)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#101000	NEUROFIBROMATOSIS, TYPE II; NF2		22q12.2		
#102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY	SCID DUE TO ADA DEFICIENCY, DELAYED ONSET, INCLUDED	20q13.12		
#103050	ADENYLOSUCCINASE DEFICIENCY; ADSLD		22q13.1		
#103580	PSEUDOHYPOPARATHYROIDISM, TYPE IA; PHP1A		20q13.32		
#104300	ALZHEIMER DISEASE; AD	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED	6p22.2, 7q36.1, 10q22.2, 12p13.31, 17q22, 21q21.3		
#104310	ALZHEIMER DISEASE 2; AD2		19q13.32		
#105150	CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED		20p11.21		
#105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	AMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED, INCLUDED	18q12.1		
#105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED	2p13.1, 12q13.12, 21q22.11, 22q12.2		
#105650	DIAMOND-BLACKFAN ANEMIA 1; DBA1		19q13.2		
#108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5		18p11.22-p11.21		
#108500	EPISODIC ATAXIA, TYPE 2; EA2		19p13.13		
#112600	BRACHYDACTYLY, TYPE A2; BDA2		4q22.3, 20p12.3, 20q11.22		
#113100	BRACHYDACTYLY, TYPE C; BDC		20q11.22		
#114300	ARTHROGRYPOSIS, DISTAL, TYPE 3; DA3		18p11.22-p11.21		
#114480	BREAST CANCER	BREAST CANCER, FAMILIAL MALE, INCLUDED	1p34.1, 2q33.1, 2q35, 3q26.32, 5q34, 6p25.2, 6q25.1-q25.2, 8q11.23, 11p15.4, 11q22.3, 12p12.1, 13q13.1, 14q32.33, 14q32.33, 15q15.1, 16p12.2, 16q22.1, 17p13.1, 17q21.33, 17q23.2, 17q23.2, 22q12.1		
#114500	COLORECTAL CANCER; CRC		1p36.13, 1p13.2, 2q13, 3p22.1, 3q26.32, 4p16.3, 4q31.3, 5q22.2, 5q22.2, 7q11.23, 8p22, 8p22, 8q22.1, 11p11.2, 11q13.3, 14q24.3, 14q32.33, 15q15.1, 17p13.1, 17p11.2, 17q24.1, 18q21.2, 19q13.33, 20q11.23, 20q13.2, 22q13.2		
#115210	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 1; RCM1		19q13.42		
#115430	CARPAL TUNNEL SYNDROME; CTS1		18q12.1		
#115470	CAT EYE SYNDROME; CES		22q11	22:15000000-25500000	
#116920	LEUKOCYTE ADHESION DEFICIENCY, TYPE I; LAD		21q22.3		
#117000	CENTRAL CORE DISEASE OF MUSCLE; CCD	MINICORE MYOPATHY, MODERATE, WITH HAND INVOLVEMENT, INCLUDED	19q13.2		
#117650	CEREBROCOSTOMANDIBULAR SYNDROME; CCMS		20p13		
#118450	ALAGILLE SYNDROME 1; ALGS1		20p12.2		
#120970	CONE-ROD DYSTROPHY 2; CORD2		19q13.33		
#121200	SEIZURES, BENIGN FAMILIAL NEONATAL, 1; BFNS1	EPILEPSY, BENIGN NEONATAL, 1, AND/OR MYOKYMIA, INCLUDED	20q13.33		
#122000	CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 1; PPCD1		20p11.23		
#122700	COUMARIN RESISTANCE	COUMARIN SENSITIVITY, INCLUDED	10q23.33, 16p11.2, 19q13.2		
#123400	CREUTZFELDT-JAKOB DISEASE; CJD	CREUTZFELDT-JAKOB DISEASE, SPORADIC, INCLUDED; sCJD, INCLUDED	6p21.32, 20p13		
#125310	CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1; CADASIL1		19p13.12		
#125630	VIBRATORY URTICARIA; VBU		19p13.12		
#125700	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL		20p13		
#125850	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 1; MODY1		20q13.12		
#125853	TYPE 2 DIABETES MELLITUS; T2D	INSULIN RESISTANCE, SUSCEPTIBILITY TO, INCLUDED	2q24.1, 2q31.3, 2q36.3, 3p25.2, 3q26.2, 3q27.2, 4p16.1, 5q34-q35.2, 6p21.31, 6q23.2, 7p13, 7q31.1, 7q32.1, 8q24.11, 10q25.2-q25.3, 11p15.1, 11p15.1, 11p11.2, 11q14.3, 12q24.31, 13q12.2, 13q34, 15q21.3, 17q12, 19p13.2, 19q13.2, 20q13.12, 20q13.13		
#128101	DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT; DYT4		19p13.3		
#128235	DYSTONIA 12; DYT12		19q13.2		
#601547	CATARACT 3, MULTIPLE TYPES; CTRCT3		22q11.23		
#601626	LEUKEMIA, ACUTE MYELOID; AML	LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO, INCLUDED	2p23.3, 3q21.3, 3q27-q28, 4q12, 4q12, 5p15.33, 5q35.1, 9p24.1, 9q34.13, 10p12.31, 11q14.2, 12p13.2, 12p12.1, 13q12.2, 16q22.1, 19p13.3, 19q13.11, 21q22.12		
#221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 1; PLOSL1		19q13.12		
#223800	DYGGVE-MELCHIOR-CLAUSEN DISEASE; DMC		18q21.1		
#224100	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE II; CDAN2		20p11.23		
#603278	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1; FSGS1		19q13.2		
#605231	BARDET-BIEDL SYNDROME 6; BBS6		20p12.2		
#605259	SPINOCEREBELLAR ATAXIA 13; SCA13		19q13.33		
#605275	NOONAN SYNDROME 2; NS2		22q11.21		
#607143	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ig; CDG1G		22q13.33		
#607155	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 5; MDDGC5		19q13.32		
#607174	MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO		10q23.31, 10q24.32, 17q21.2, 22q12.1, 22q12.2, 22q13.1		
#600072	FATAL FAMILIAL INSOMNIA; FFI		20p13		
#609029	EMANUEL SYNDROME		22q11.2	22:17400000-25500000	
#609136	PERIPHERAL DEMYELINATING NEUROPATHY, CENTRAL DYSMYELINATION, WAARDENBURG SYNDROME, AND HIRSCHSPRUNG DISEASE; PCWH		22q13.1		
#130720	LATERAL MENINGOCELE SYNDROME; LMNS		19p13.12		
#131300	CAMURATI-ENGELMANN DISEASE; CAEND		19q13.2		
#132400	EPIPHYSEAL DYSPLASIA, MULTIPLE, 1; EDM1	EPIPHYSEAL DYSPLASIA, FAIRBANK TYPE, INCLUDED	19p13.11		
#133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1		9p24.1, 12q24.12, 19p13.2		
#133239	ESOPHAGEAL CANCER	ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED	3p24.1, 8p21.3, 13q12.13, 16q23.1-q23.2, 18q21.2		
#136900	SORSBY FUNDUS DYSTROPHY; SFD		22q12.3		
#137440	GERSTMANN-STRAUSSLER DISEASE; GSD	CEREBRAL AMYLOID ANGIOPATHY, PRNP-RELATED, INCLUDED	20p13		
#137940	HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA-RENAL DEFECT SYNDROME; HLTRS		20q13.33		
#139210	MYHRE SYNDROME; MYHRS		18q21.2		
#141500	MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1	MIGRAINE, FAMILIAL HEMIPLEGIC 1, WITH PROGRESSIVE CEREBELLAR ATAXIA, INCLUDED	19p13.13		
#142946	HOLOPROSENCEPHALY 4; HPE4		18p11.31		
#143880	HYPERCALCEMIA, INFANTILE, 1; HCINF1		20q13.2		
#143890	HYPERCHOLESTEROLEMIA, FAMILIAL, 1; FHCL1	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 2, INCLUDED; LDLCQ2, INCLUDED	1q23.3, 5p13-p12, 7p14.3, 8p21.2-p21.1, 19p13.2		
#145410	OPITZ GBBB SYNDROME, TYPE II; GBBB2		22q11.23		
#145420	HYPERTELORISM, TEEBI TYPE; TBHS		22q11.23		
#145500	HYPERTENSION, ESSENTIAL		1p36.12, 1q23.3, 1q24.2, 1q42.2, 2p25-p24, 3q24, 4p16.3, 5p13-q12, 7q22.1, 7q36.1, 12p13.31, 12p12.2-p12.1, 15q, 17q, 20q11-q13, 20q13.13		
#145600	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1; MHS1	KING SYNDROME, INCLUDED	19q13.2		
#145680	HYPERTHYROXINEMIA, DYSTRANSTHYRETINEMIC; DTTRH		18q12.1		
#145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS		1q23.3, 10q21.3, 17p12, 19q13.2		
#145981	HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE II; HHC2		19p13.3		
#146390	CHROMOSOME 18p DELETION SYNDROME		18p		
#147480	CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 1; ICP1		18q21.31		
#147750	IVIC SYNDROME		20q13.2		
#148300	KERATOCONUS 1; KTCN1		20p11.21		
#148700	PALMOPLANTAR KERATODERMA I, STRIATE, FOCAL, OR DIFFUSE; PPKS1		18q12.1		
#155100	MACROTHROMBOCYTOPENIA AND GRANULOCYTE INCLUSIONS WITH OR WITHOUT NEPHRITIS OR SENSORINEURAL HEARING LOSS; MATINS		22q12.3		
#157600	MIRROR MOVEMENTS 1; MRMV1		18q21.2		
#158810	BETHLEM MYOPATHY 1; BTHLM1		2q37.3, 21q22.3, 21q22.3		
#160150	MYOPATHY, CENTRONUCLEAR, 1; CNM1		3p25.3, 19p13.2		
#160900	MYOTONIC DYSTROPHY 1; DM1		19q13.32		
#162091	SCHWANNOMATOSIS 1; SWNTS1		22q11.23, 22q12.2		
#162350	CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT; CLN4B		20q13.33		
#162800	CYCLIC NEUTROPENIA		19p13.3		
#165300	OPTIC ATROPHY 3, AUTOSOMAL DOMINANT; OPA3		19q13.32		
#166300	MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME; MCTO		20q12		
#166350	OSSEOUS HETEROPLASIA, PROGRESSIVE; POH		20q13.32		
#166710	OSTEOPOROSIS	FRACTURE, HIP, SUSCEPTIBILITY TO, INCLUDED	5q31.1, 7q21.3, 7q21.3, 11p12, 11q13.2, 17q21.33, 20p12.3		
#170100	PROLIDASE DEFICIENCY		19q13.11		
#173650	KINDLER SYNDROME; KNDLRS		20p12.3		
#174050	POLYCYSTIC LIVER DISEASE 1 WITH OR WITHOUT KIDNEY CYSTS; PCLD1		19p13.2		
#174800	MCCUNE-ALBRIGHT SYNDROME; MAS	POLYOSTOTIC FIBROUS DYSPLASIA, INCLUDED; PFD, INCLUDED; POFD, INCLUDED	20q13.32		
#174810	FAMILIAL EXPANSILE OSTEOLYSIS; FEO		18q21.33		
#174900	JUVENILE POLYPOSIS SYNDROME; JPS	JUVENILE POLYPOSIS OF STOMACH, INCLUDED	10q23.2, 18q21.2		
#175050	JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME; JPHT		18q21.2		
#175200	PEUTZ-JEGHERS SYNDROME; PJS		19p13.3		
#176400	PRECOCIOUS PUBERTY, CENTRAL, 1; CPPB1		19p13.3		
#176807	PROSTATE CANCER		7p22.3, 10p15.2, 10q23.31, 10q25.2, 13q13.1, 16q22.1, 16q22.2-q22.3, 22q12.1, Xq12		
#177000	PROTOPORPHYRIA, ERYTHROPOIETIC, 1; EPP1		18q21.31		
#177170	PSEUDOACHONDROPLASIA; PSACH		19p13.11		
#181270	SCALP-EAR-NIPPLE SYNDROME; SENS		18q11.2		
#181500	SCHIZOPHRENIA; SCZD		1p36.2, 1p36.22, 1q32.1, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 13q14.2, 13q32, 13q33.2, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3		
#182410	SNEDDON SYNDROME; SNDNS		22q11.1		
#182940	NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO; NTD	SPINA BIFIDA, INCLUDED	1p13.1, 1q23.2, 6q27, 17q12, 19q13.33		
#182980	SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE; SMAFK		20q13.32		
#183086	SPINOCEREBELLAR ATAXIA 6; SCA6		19p13.13		
#187500	TETRALOGY OF FALLOT; TOF		5q35.1, 8p23.1, 8q23.1, 18q11.2, 20p12.2, 22q11.21		
#187950	THROMBOCYTHEMIA 1; THCYT1		3q27.1, 12q24.12, 19p13.13		
#188400	DIGEORGE SYNDROME; DGS	DIGEORGE SYNDROME CHROMOSOME REGION, INCLUDED; DGCR, INCLUDED	22q11.21		
#188890	TOBACCO ADDICTION, SUSCEPTIBILITY TO		5p15.33, 9q22.33, 19q13.2, 20q13.33		
#190685	DOWN SYNDROME	DOWN SYNDROME CHROMOSOME REGION, INCLUDED; DCR, INCLUDED	21q22.3	21:41200000-46709983	
#192430	VELOCARDIOFACIAL SYNDROME; VCFS		22q11.21		
#192600	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1		3p25.3, 14q11.2, 20q11.21		
#200700	CHONDRODYSPLASIA, GREBE TYPE		20q11.22		
#201250	ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON TYPE; AMDH		20q11.22		
#202200	GLUCOCORTICOID DEFICIENCY 1; GCCD1		18p11.21		
#202700	NEUTROPENIA, SEVERE CONGENITAL, 1, AUTOSOMAL DOMINANT; SCN1		19p13.3		
#204700	AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA1; AI2A1		19q13.41		
#206200	IRON-REFRACTORY IRON DEFICIENCY ANEMIA; IRIDA		22q12.3		
#206800	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 4; NDNC4		20p13		
#207750	APOLIPOPROTEIN C-II DEFICIENCY		19q13.32		
#208050	ARTERIAL TORTUOSITY SYNDROME; ATORS		20q13.12		
#208530	RIGHT ATRIAL ISOMERISM; RAI	POLYSPLENIA SYNDROME, INCLUDED	19p13.11		
#209880	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS	ONDINE-HIRSCHSPRUNG DISEASE, INCLUDED; OHD, INCLUDED	4p13, 5p13.2, 10q11.21, 12q23.2, 20q13.32		
