OMIM Search - '+cs_neurologic:(spastic*) (Search in: Prefixes: #)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#103050	ADENYLOSUCCINASE DEFICIENCY; ADSLD		22q13.1		
#105210	AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED	AMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED, INCLUDED	18q12.1		
#105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED	2p13.1, 12q13.12, 21q22.11, 22q12.2		
#108600	SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT; SPAX1		12p13.31		
#109150	MACHADO-JOSEPH DISEASE; MJD		14q32.12		
#123450	CRI-DU-CHAT SYNDROME				
#124000	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 1; MC3DN1		2q35		
#125250	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY		3q29		
#126200	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO; MS	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 1, INCLUDED; MS1, INCLUDED	2q37.3, 6p21.32, 6p21.32		
#220120	D-GLYCERIC ACIDURIA		3p21.2		
#221770	POLYCYSTIC LIPOMEMBRANOUS OSTEODYSPLASIA WITH SCLEROSING LEUKOENCEPHALOPATHY 1; PLOSL1		19q13.12		
#221820	LEUKOENCEPHALOPATHY, HEREDITARY DIFFUSE, WITH SPHEROIDS; HDLS		5q32		
#605280	SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINANT; SPG13		2q33.1		
#300100	ADRENOLEUKODYSTROPHY; ALD	ADRENOMYELONEUROPATHY, INCLUDED; AMN, INCLUDED	Xq28		
#300114	RAYNAUD-CLAES SYNDROME; MRXSRC		Xp22.2		
#300148	MEHMO SYNDROME; MEHMO		Xp22.11		
#300166	MICROPHTHALMIA, SYNDROMIC 2; MCOPS2		Xp11.4		
#609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1		3q25.32		
#609136	PERIPHERAL DEMYELINATING NEUROPATHY, CENTRAL DYSMYELINATION, WAARDENBURG SYNDROME, AND HIRSCHSPRUNG DISEASE; PCWH		22q13.1		
#133190	SPINOCEREBELLAR ATAXIA 34; SCA34		6q14.1		
#137440	GERSTMANN-STRAUSSLER DISEASE; GSD	CEREBRAL AMYLOID ANGIOPATHY, PRNP-RELATED, INCLUDED	20p13		
#147791	JACOBSEN SYNDROME; JBS		11q23.3-q25	11:114600000-135086622	
#148820	WAARDENBURG SYNDROME, TYPE 3; WS3		2q36.1		
#160120	EPISODIC ATAXIA, TYPE 1; EA1	MYOKYMIA 1, INCLUDED	12p13.32		
#164200	OCULODENTODIGITAL DYSPLASIA; ODDD		6q22.31		
#164400	SPINOCEREBELLAR ATAXIA 1; SCA1		6p22.3		
#164500	SPINOCEREBELLAR ATAXIA 7; SCA7		3p14.1		
#169500	LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT; ADLD		5q23.2		
#175780	BRAIN SMALL VESSEL DISEASE 1 WITH OR WITHOUT OCULAR ANOMALIES; BSVD1		13q34		
#176500	CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 1		13q14.2		
#182600	SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT; SPG3A		14q22.1		
#182601	SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT; SPG4		2p22.3		
#183090	SPINOCEREBELLAR ATAXIA 2; SCA2	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 13, INCLUDED; ALS13, INCLUDED	12q24.12		
#203450	ALEXANDER DISEASE; ALXDRD		17q21.31		
#205100	AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE; ALS2		2q33.1		
#206900	MICROPHTHALMIA, SYNDROMIC 3; MCOPS3	OPTIC NERVE HYPOPLASIA AND ABNORMALITIES OF THE CENTRAL NERVOUS SYSTEM, INCLUDED	3q26.33		
#207800	ARGININEMIA		6q23.2		
#208400	ASPARTYLGLUCOSAMINURIA; AGU		4q34.3		
#210000	BEHR SYNDROME; BEHRS		3q29		
#213200	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 2; SCAR2		9q34.3		
