OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 3, 4, 5)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#100300	ADAMS-OLIVER SYNDROME 1; AOS1	APLASIA CUTIS CONGENITA, CONGENITAL HEART DEFECT, AND FRONTONASAL CYSTS, INCLUDED	3q13.32-q13.33		
#100800	ACHONDROPLASIA; ACH		4p16.3		
#102530	SPERMATOGENIC FAILURE 6; SPGF6		3q26.31		
#103285	ADULT SYNDROME		3q28		
#103500	TIETZ ALBINISM-DEAFNESS SYNDROME; TADS		3p13		
#103780	ALCOHOL DEPENDENCE	ALCOHOL DEPENDENCE, PROTECTION AGAINST, INCLUDED	4p12, 4q23, 4q23, 13q14.2		
#104500	AMELOGENESIS IMPERFECTA, TYPE IB; AI1B		4q13.3		
#105200	AMYLOIDOSIS, FAMILIAL VISCERAL		4q31.3, 11q23.3, 12q15, 15q21.1		
#105250	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1; PLCA1		5p13.1		
#106260	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE; AEC		3q28		
#106600	TOOTH AGENESIS, SELECTIVE, 1; STHAG1	TOOTH AGENESIS, SELECTIVE, WITH OROFACIAL CLEFT, INCLUDED	4p16.2		
#108720	ATELOSTEOGENESIS, TYPE I; AO1		3p14.3		
#108721	ATELOSTEOGENESIS, TYPE III; AO3		3p14.3		
#108900	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7		5q35.1		
#109800	BLADDER CANCER		4p16.3, 11p15.5, 12p12.1, 13q14.2		
#110100	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES	BPES, TYPE I, INCLUDED	3q22.3		
#112310	BOOMERANG DYSPLASIA; BOOMD		3p14.3		
#112600	BRACHYDACTYLY, TYPE A2; BDA2		4q22.3, 20p12.3, 20q11.22		
#113900	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA; PFHB1A	HEART BLOCK, NONPROGRESSIVE, INCLUDED	3p22.2		
#114480	BREAST CANCER	BREAST CANCER, FAMILIAL MALE, INCLUDED	1p34.1, 2q33.1, 2q35, 3q26.32, 5q34, 6p25.2, 6q25.1-q25.2, 8q11.23, 11p15.4, 11q22.3, 12p12.1, 13q13.1, 14q32.33, 14q32.33, 15q15.1, 16p12.2, 16q22.1, 17p13.1, 17q21.33, 17q23.2, 17q23.2, 22q12.1		
#114500	COLORECTAL CANCER; CRC		1p36.13, 1p13.2, 2q13, 3p22.1, 3q26.32, 4p16.3, 4q31.3, 5q22.2, 5q22.2, 7q11.23, 8p22, 8p22, 8q22.1, 11p11.2, 11q13.3, 14q24.3, 14q32.33, 15q15.1, 17p13.1, 17p11.2, 17q24.1, 18q21.2, 19q13.33, 20q11.23, 20q13.2, 22q13.2		
#114550	HEPATOCELLULAR CARCINOMA	HEPATOBLASTOMA, INCLUDED	2q33.1, 3p22.1, 3q26.32, 5q22.2, 6q25.3, 7q31.2, 8p22, 16p13.3, 17p13.1		
#116100	CATARACT 20, MULTIPLE TYPES; CTRCT20		3q27.3		
#116400	CATARACT 41; CTRCT41		4p16.1		
#117360	SPINOCEREBELLAR ATAXIA 29; SCA29		3p26.1		
#117550	SOTOS SYNDROME 1; SOTOS1		5q35.3		
#118400	CHERUBISM		4p16.3		
#118600	CHONDROCALCINOSIS 2; CCAL2		5p15.2		
#119800	CLUBFOOT, CONGENITAL, WITH OR WITHOUT DEFICIENCY OF LONG BONES AND/OR MIRROR-IMAGE POLYDACTYLY; CCF		5q31.1		
#119900	DIGITAL CLUBBING, ISOLATED CONGENITAL; DIGC		4q34.1		
#121050	CONTRACTURAL ARACHNODACTYLY, CONGENITAL; CCA		5q23.3		
#121300	COPROPORPHYRIA, HEREDITARY; HCP		3q11.2		
#121820	CORNEAL DYSTROPHY, EPITHELIAL BASEMENT MEMBRANE; EBMD		5q31.1		
#121900	CORNEAL DYSTROPHY, GROENOUW TYPE I; CDGG1		5q31.1		
#122200	CORNEAL DYSTROPHY, LATTICE TYPE I; CDL1		5q31.1		
#122470	CORNELIA DE LANGE SYNDROME 1; CDLS1		5p13.2		
#123000	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CMDD		5p15.2		
#123320	CREATINE PHOSPHOKINASE, ELEVATED SERUM		3p25.3		
#124900	DEAFNESS, AUTOSOMAL DOMINANT 1, WITH OR WITHOUT THROMBOCYTOPENIA; DFNA1		5q31.3		
#125250	OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY		3q29		
#125350	FAILURE OF TOOTH ERUPTION, PRIMARY; PFE		3p21.31		
#125420	DENTIN DYSPLASIA, TYPE II; DTDP2		4q22.1		
#125490	DENTINOGENESIS IMPERFECTA 1; DGI1		4q22.1		
#125500	DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III		4q22.1		
#125853	TYPE 2 DIABETES MELLITUS; T2D	INSULIN RESISTANCE, SUSCEPTIBILITY TO, INCLUDED	2q24.1, 2q31.3, 2q36.3, 3p25.2, 3q26.2, 3q27.2, 4p16.1, 5q34-q35.2, 6p21.31, 6q23.2, 7p13, 7q31.1, 7q32.1, 8q24.11, 10q25.2-q25.3, 11p15.1, 11p15.1, 11p11.2, 11q14.3, 12q24.31, 13q12.2, 13q34, 15q21.3, 17q12, 19p13.2, 19q13.2, 20q13.12, 20q13.13		
#126550	CALVARIAL DOUGHNUT LESIONS WITH BONE FRAGILITY; CDL	CALVARIAL DOUGHNUT LESIONS WITH BONE FRAGILITY AND SPONDYLOMETAPHYSEAL DYSPLASIA, INCLUDED; CDLSMD, INCLUDED	4q25		
#127550	DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1; DKCA1		3q26.2		
#127750	DEMENTIA, LEWY BODY; DLB	DIFFUSE LEWY BODY DISEASE WITH GAZE PALSY, INCLUDED	1q22, 4q22.1, 5q35.2		
#129200	BASAN SYNDROME		4q22.3		
#129400	RAPP-HODGKIN SYNDROME; RHS		3q28		
#601559	STUVE-WIEDEMANN SYNDROME; STWS		5p13.1		
#601596	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4C; CMT4C		5q32		
#601626	LEUKEMIA, ACUTE MYELOID; AML	LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO, INCLUDED	2p23.3, 3q21.3, 3q27-q28, 4q12, 4q12, 5p15.33, 5q35.1, 9p24.1, 9q34.13, 10p12.31, 11q14.2, 12p13.2, 12p12.1, 13q12.2, 16q22.1, 19p13.3, 19q13.11, 21q22.12		
#601634	NEURAL TUBE DEFECTS, FOLATE-SENSITIVE; NTDFS	SPINA BIFIDA, FOLATE-SENSITIVE, INCLUDED	1p36.22, 1q43, 5p15.31, 14q23.3		
#220120	D-GLYCERIC ACIDURIA		3p21.2		
#221820	LEUKOENCEPHALOPATHY, HEREDITARY DIFFUSE, WITH SPHEROIDS; HDLS		5q32		
#222300	WOLFRAM SYNDROME 1; WFS1		4p16.1		
#222470	TRICHOHEPATOENTERIC SYNDROME 1; THES1		5q15		
#222600	DIASTROPHIC DYSPLASIA; DTD	DIASTROPHIC DYSPLASIA, BROAD BONE-PLATYSPONDYLIC VARIANT, INCLUDED	5q32		
#222900	SUCRASE-ISOMALTASE DEFICIENCY, CONGENITAL; CSID		3q26.1		
#225250	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 5; CHNG5		5q35.1		
#603285	CEREBRAL CAVERNOUS MALFORMATIONS 3; CCM3		3q26.1		
#605289	SPLIT-HAND/FOOT MALFORMATION 4; SHFM4		3q28		
#609049	PIERSON SYNDROME		3p21.31		
#609060	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 1; COXPD1		3q25.32		
#609115	MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL DOMINANT 3; LGMDD3		4q21.22		
#609161	STRIATAL DEGENERATION, AUTOSOMAL DOMINANT 1; ADSD1		5q13.3		
#130070	EHLERS-DANLOS SYNDROME, SPONDYLODYSPLASTIC TYPE, 1; EDSSPD1		5q35.3		
#131440	MYELOPROLIFERATIVE DISORDER, CHRONIC, WITH EOSINOPHILIA		5q32		
#131705	TRANSIENT BULLOUS DERMOLYSIS OF THE NEWBORN; TBDN		3p21.31		
#131750	EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL DOMINANT; DDEB	EPIDERMOLYSIS BULLOSA DYSTROPHICA WITH SUBCORNEAL CLEAVAGE, INCLUDED; EBDSC, INCLUDED	3p21.31		
#131850	EPIDERMOLYSIS BULLOSA DYSTROPHICA, PRETIBIAL		3p21.31		
#132000	EPIDERMOLYSIS BULLOSA WITH CONGENITAL LOCALIZED ABSENCE OF SKIN AND DEFORMITY OF NAILS		3p21.31		
#132600	PILOMATRIXOMA		3p22.1		
#133239	ESOPHAGEAL CANCER	ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED	3p24.1, 8p21.3, 13q12.13, 16q23.1-q23.2, 18q21.2		
#135290	DESMOID DISEASE, HEREDITARY; DESMD	DESMOID TUMOR CAUSED BY SOMATIC MUTATION, INCLUDED	5q22.2		
#136000	ADERMATOGLYPHIA; ADERM		4q22.3		
#136880	FUNDUS ALBIPUNCTATUS	RETINITIS PUNCTATA ALBESCENS, INCLUDED	3q22.1, 6p21.1, 12q13.2, 15q26.1		
#137200	NEUROMYOTONIA AND AXONAL NEUROPATHY, AUTOSOMAL RECESSIVE; NMAN		5q23.3		
#137600	ANTERIOR SEGMENT DYSGENESIS 4; ASGD4		4q25		
#138500	HYPERGLYCINURIA		3p21.31, 5p15.33, 5q33.1		
#138900	URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1; UAQTL1		4q22.1		
#139090	GRAY PLATELET SYNDROME; GPS		3p21.31		
#142669	BEUKES HIP DYSPLASIA; BHD		4q35.1		
#143100	HUNTINGTON DISEASE; HD		4p16.3		
#143200	WAGNER VITREORETINOPATHY; WGVRP		5q14.2-q14.3		
#143465	ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD		4p16.1, 5p13, 6q12, 11p15.5, 16p13, 17p11		
#143890	HYPERCHOLESTEROLEMIA, FAMILIAL, 1; FHCL1	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 2, INCLUDED; LDLCQ2, INCLUDED	1q23.3, 5p13-p12, 7p14.3, 8p21.2-p21.1, 19p13.2		
#145500	HYPERTENSION, ESSENTIAL		1p36.12, 1q23.3, 1q24.2, 1q42.2, 2p25-p24, 3q24, 4p16.3, 5p13-q12, 7q22.1, 7q36.1, 12p13.31, 12p12.2-p12.1, 15q, 17q, 20q11-q13, 20q13.13		
#145650	THYROID HORMONE RESISTANCE, SELECTIVE PITUITARY; PRTH		3p24.2		
#145980	HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE I; HHC1	HYPOCALCIURIC HYPERCALCEMIA, ACQUIRED, INCLUDED	3q13.3-q21.1		
#146000	HYPOCHONDROPLASIA; HCH		4p16.3		
#146110	HYPOGONADOTROPIC HYPOGONADISM 7 WITH OR WITHOUT ANOSMIA; HH7		4q13.2		
#146500	MULTIPLE SYSTEM ATROPHY 1, SUSCEPTIBILITY TO; MSA1	AUTONOMIC FAILURE, PURE, INCLUDED	4q21.23		
#149400	HYPEREKPLEXIA 1; HKPX1		5q33.1		
#149730	LACRIMOAURICULODENTODIGITAL SYNDROME; LADD		4p16.3, 5p12, 10q26.13		
#150250	LARSEN SYNDROME; LRS		3p14.3		
#150550	PERIODIC FEVER, IMMUNODEFICIENCY, AND THROMBOCYTOPENIA SYNDROME; PFITS		4p16.1		
#151600	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3; NDNC3	LEUKONYCHIA STRIATUS, INCLUDED	3p22.2		
#152700	SYSTEMIC LUPUS ERYTHEMATOSUS; SLE	EXCESS LYMPHOCYTE LOW MOLECULAR WEIGHT DNA, INCLUDED	1p13.2, 1q23.3, 1q23.3, 2q33.2, 3p21.31, 16p13.3		
#153100	LYMPHATIC MALFORMATION 1; LMPHM1		5q35.3		
#153550	CHROMOSOME 5q DELETION SYNDROME	MEGAKARYOCYTES, UNILOBULAR NUCLEATED, INCLUDED	5q33.1		
#154500	TREACHER COLLINS SYNDROME 1; TCS1		5q32-q33		
#154800	MASTOCYTOSIS, CUTANEOUS; MASTC	MASTOCYTOSIS, SYSTEMIC, INCLUDED; MASTSYS, INCLUDED	4q12		
#155255	MEDULLOBLASTOMA; MDB	MEDULLOBLASTOMA, DESMOPLASTIC, INCLUDED	1p34.1, 3p22.1, 10q24.32, 13q13.1		
#155500	MACRODACTYLY		3q26.32		
#156400	METAPHYSEAL CHONDRODYSPLASIA, JANSEN TYPE; MCDJ		3p21.31		
#158320	MUIR-TORRE SYNDROME; MRTES		2p21-p16, 3p22.2		
#158900	FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1; FSHD1	FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY, INFANTILE, INCLUDED	4q35	4:182300000-190214555	
#160150	MYOPATHY, CENTRONUCLEAR, 1; CNM1		3p25.3, 19p13.2		
#162900	NEVUS, EPIDERMAL	NEVUS SEBACEOUS, INCLUDED	1p13.2, 3q26.32, 4p16.3, 11p15.5		
#163500	NIGHT BLINDNESS, CONGENITAL STATIONARY, AUTOSOMAL DOMINANT 2; CSNBAD2		4p16.3		
#164500	SPINOCEREBELLAR ATAXIA 7; SCA7		3p14.1		
#165500	OPTIC ATROPHY 1; OPA1		3q29		
#166710	OSTEOPOROSIS	FRACTURE, HIP, SUSCEPTIBILITY TO, INCLUDED	5q31.1, 7q21.3, 7q21.3, 11p12, 11q13.2, 17q21.33, 20p12.3		
#167000	OVARIAN CANCER	OVARIAN CANCER, EPITHELIAL, INCLUDED	3p22.1, 3q26.32, 6q26, 11q25, 14q32.33, 16q22.1		
#167030	NEPHROLITHIASIS, CALCIUM OXALATE; CAON		4p16.3		
#167250	PAGET DISEASE OF BONE 3; PDB3		5q35.3		
#167800	PANCREATITIS, HEREDITARY; PCTT	PANCREATITIS, CHRONIC, SUSCEPTIBILITY TO, INCLUDED	1p36.21, 5q32, 7q31.2, 7q34, 7q34		
#168500	PARIETAL FORAMINA 1; PFM1		5q35.2		
#168550	PARIETAL FORAMINA WITH CLEIDOCRANIAL DYSPLASIA; PFMCCD		5q35.2		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#168601	PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1	ATYPICAL PARKINSON DISEASE, INCLUDED	4q22.1		
#169500	LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT; ADLD		5q23.2		
#169600	BENIGN CHRONIC PEMPHIGUS; BCPM		3q22.1		
#171300	PHEOCHROMOCYTOMA		1p36.22, 1p36.13, 2q11.2, 3p25.3, 5p13.2, 10q11.21, 11q23.1, 14q23.3		
