OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 14, 15, 16, 17)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#101800	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1		17q24.2		
#102370	ACROMICRIC DYSPLASIA; ACMICD		15q21.1		
#104300	ALZHEIMER DISEASE; AD	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED	6p22.2, 7q36.1, 10q22.2, 12p13.31, 17q22, 21q21.3		
#104510	AMELOGENESIS IMPERFECTA, TYPE IV; AI4		17q21.33		
#105200	AMYLOIDOSIS, FAMILIAL VISCERAL		4q31.3, 11q23.3, 12q15, 15q21.1		
#105500	AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1		15q21.2		
#105830	ANGELMAN SYNDROME; AS	ANGELMAN SYNDROME CHROMOSOME REGION, INCLUDED; ANCR, INCLUDED	15q11.2		
#107480	TOWNES-BROCKS SYNDROME 1; TBS1	TOWNES-BROCKS-BRANCHIOOTORENAL-LIKE SYNDROME, INCLUDED	16q12.1		
#107970	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1	UHL ANOMALY, INCLUDED	14q24.3		
#109150	MACHADO-JOSEPH DISEASE; MJD		14q32.12		
#112240	COLE-CARPENTER SYNDROME 1; CLCRP1		17q25.3		
#113750	ALBINISM, OCULOCUTANEOUS, TYPE VI; OCA6	SKIN/HAIR/EYE PIGMENTATION, VARIATION IN, 4, INCLUDED; SHEP4, INCLUDED	15q21.1		
#113800	EPIDERMOLYTIC HYPERKERATOSIS; EHK	EPIDERMOLYTIC HYPERKERATOSIS, LATE-ONSET, INCLUDED	12q13.13, 17q21.2		
#114000	CAFFEY DISEASE; CAFYD		17q21.33		
#114290	CAMPOMELIC DYSPLASIA	CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL, INCLUDED	17q24.3		
#114480	BREAST CANCER	BREAST CANCER, FAMILIAL MALE, INCLUDED	1p34.1, 2q33.1, 2q35, 3q26.32, 5q34, 6p25.2, 6q25.1-q25.2, 8q11.23, 11p15.4, 11q22.3, 12p12.1, 13q13.1, 14q32.33, 14q32.33, 15q15.1, 16p12.2, 16q22.1, 17p13.1, 17q21.33, 17q23.2, 17q23.2, 22q12.1		
#114500	COLORECTAL CANCER; CRC		1p36.13, 1p13.2, 2q13, 3p22.1, 3q26.32, 4p16.3, 4q31.3, 5q22.2, 5q22.2, 7q11.23, 8p22, 8p22, 8q22.1, 11p11.2, 11q13.3, 14q24.3, 14q32.33, 15q15.1, 17p13.1, 17p11.2, 17q24.1, 18q21.2, 19q13.33, 20q11.23, 20q13.2, 22q13.2		
#114550	HEPATOCELLULAR CARCINOMA	HEPATOBLASTOMA, INCLUDED	2q33.1, 3p22.1, 3q26.32, 5q22.2, 6q25.3, 7q31.2, 8p22, 16p13.3, 17p13.1		
#115080	CARDIAC CONDUCTION DEFECT	SUDDEN CARDIAC DEATH, INCLUDED; SCD, INCLUDED	17p11.2		
#115196	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 3; CMH3		15q22.2		
#115300	HYPERCAROTENEMIA AND VITAMIN A DEFICIENCY, AUTOSOMAL DOMINANT; HCVAD	CAROTENOIDS, PLASMA LEVEL OF, QUANTITATIVE TRAIT LOCUS 1, INCLUDED	16q23.2		
#116800	CATARACT 5, MULTIPLE TYPES; CTRCT5		16q22.1		
#117210	SPINOCEREBELLAR ATAXIA 31; SCA31		16q21		
#117800	APOCRINE GLAND SECRETION, VARIATION IN		16q12.1		
#118220	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A; CMT1A		17p12		
#118300	CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS		17p12		
#118700	CHOREA, BENIGN HEREDITARY; BHC		14q13.3		
#119580	BLEPHAROCHEILODONTIC SYNDROME 1; BCDS1		16q22.1		
#122100	CORNEAL DYSTROPHY, MEESMANN, 1; MECD1		17q21.2		
#122600	SPONDYLOCOSTAL DYSOSTOSIS 5; SCDO5		16p11.2		
#122700	COUMARIN RESISTANCE	COUMARIN SENSITIVITY, INCLUDED	10q23.33, 16p11.2, 19q13.2		
#122860	CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CDD		17q21.31		
