OMIM Search - '+cs_neurologic_exists:true (Search in: Prefixes: #, Chromosomes: 6, 7, 8, 9, 10, 11, 12)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#101200	APERT SYNDROME	APERT-CROUZON DISEASE, INCLUDED	10q26.13		
#101600	PFEIFFER SYNDROME	CRANIOFACIAL-SKELETAL-DERMATOLOGIC DYSPLASIA, INCLUDED	8p11.23, 10q26.13		
#102200	PITUITARY ADENOMA 1, MULTIPLE TYPES; PITA1	PITUITARY ADENOMA PREDISPOSITION, INCLUDED; PAP, INCLUDED	11q13.2		
#104300	ALZHEIMER DISEASE; AD	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED	6p22.2, 7q36.1, 10q22.2, 12p13.31, 17q22, 21q21.3		
#105120	AMYLOIDOSIS, FINNISH TYPE	CEREBRAL AMYLOID ANGIOPATHY, GSN-RELATED, INCLUDED	9q33.2		
#105200	AMYLOIDOSIS, FAMILIAL VISCERAL		4q31.3, 11q23.3, 12q15, 15q21.1		
#105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED	2p13.1, 12q13.12, 21q22.11, 22q12.2		
#105550	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 1; FTDALS1		9p21.2		
#106100	ANGIOEDEMA, HEREDITARY, TYPE I; HAE1	ANGIOEDEMA, HEREDITARY, TYPE II, INCLUDED; HAE2, INCLUDED	11q12.1		
#106210	ANIRIDIA 1; AN1	CATARACT, CONGENITAL, WITH LATE-ONSET CORNEAL DYSTROPHY, INCLUDED	11p13		
#108600	SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT; SPAX1		12p13.31		
#109400	BASAL CELL NEVUS SYNDROME; BCNS		1p34.1, 9q22.32, 10q24.32		
#112410	HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB		12p12.2		
#113500	BRACHYOLMIA TYPE 3; BCYM3		12q24.11		
#113620	BRANCHIOOCULOFACIAL SYNDROME; BOFS		6p24.3		
#115150	CARDIOFACIOCUTANEOUS SYNDROME 1; CFC1		7q34		
#116860	CEREBRAL CAVERNOUS MALFORMATIONS; CCM	CEREBRAL CAVERNOUS MALFORMATIONS 1, INCLUDED; CCM1, INCLUDED	7q21.2		
#119600	CLEIDOCRANIAL DYSPLASIA; CCD	CLEIDOCRANIAL DYSPLASIA, FORME FRUSTE, WITH BRACHYDACTYLY, INCLUDED	6p21.1		
#120330	PAPILLORENAL SYNDROME; PAPRS		10q24.31		
#120433	COLOBOMA, OCULAR, WITH OR WITHOUT HEARING IMPAIRMENT, CLEFT LIP/PALATE, AND/OR MENTAL RETARDATION; COB1		11q22.1		
#121201	SEIZURES, BENIGN FAMILIAL NEONATAL, 2; BFNS2		8q24.22		
#123100	CRANIOSYNOSTOSIS 1; CRS1		7p21.1		
#123400	CREUTZFELDT-JAKOB DISEASE; CJD	CREUTZFELDT-JAKOB DISEASE, SPORADIC, INCLUDED; sCJD, INCLUDED	6p21.32, 20p13		
#123500	CROUZON SYNDROME		10q26.13		
#123790	BEARE-STEVENSON CUTIS GYRATA SYNDROME; BSTVS		10q26.13		
#124200	DARIER-WHITE DISEASE; DAR	DARIER DISEASE, ACRAL HEMORRHAGIC TYPE, INCLUDED	12q24.11		
#125370	DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY; DRPLA		12p13.31		
#125800	DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL		12q13.12		
#126200	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO; MS	MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO, 1, INCLUDED; MS1, INCLUDED	2q37.3, 6p21.32, 6p21.32		
#127000	KENNY-CAFFEY SYNDROME, TYPE 2; KCS2		11q12.1		
#128100	DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT; DYT1		9q34.11		
#130000	EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 1; EDSCL1		9q34.3		
#180300	RHEUMATOID ARTHRITIS; RA		6q23	6:130000000-138300000	
#601631	ANTERIOR SEGMENT DYSGENESIS 3; ASGD3		6p25.3		
#220110	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 1; MC4DN1		9q34.2		
#220210	RITSCHER-SCHINZEL SYNDROME 1; RTSC1		8q24.13		
#221750	PITUITARY HORMONE DEFICIENCY, COMBINED, 3; CPHD3		9q34.3		
#222730	DICARBOXYLIC AMINOACIDURIA; DCBXA		9p24.2		
#222748	DIHYDROPYRIMIDINASE DEFICIENCY; DPYSD		8q22.3		
#223360	ORTHOSTATIC HYPOTENSION 1; ORTHYP1		9q34.2		
#223900	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE III; HSAN3		9q31.3		
#224050	CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 1; CAMRQ1		9p24.2		
#603284	CEREBRAL CAVERNOUS MALFORMATIONS 2; CCM2		7p13		
#605253	NEUROPATHY, CONGENITAL HYPOMYELINATING, 1, AUTOSOMAL RECESSIVE; CHN1	NEUROPATHY, CONGENITAL HYPOMYELINATING, 1, AUTOSOMAL DOMINANT, INCLUDED	10q21.3		
#605285	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, RUSSE TYPE; HMSNR		10q22.1		
#605309	MACROCEPHALY/AUTISM SYNDROME		10q23.31		
#607136	SPINOCEREBELLAR ATAXIA 17; SCA17		6q27		
#600060	DEAFNESS, AUTOSOMAL RECESSIVE 2; DFNB2		11q13.5		
#600116	PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE; PARK2		6q26		
#609069	PANCREATIC AND CEREBELLAR AGENESIS; PACA		10p12.2		
#130650	BECKWITH-WIEDEMANN SYNDROME; BWS	BECKWITH-WIEDEMANN SYNDROME CHROMOSOME REGION, INCLUDED; BWCR, INCLUDED	11p15.5, 11p15.5, 11p15.4		
#133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1		9p24.1, 12q24.12, 19p13.2		
#133190	SPINOCEREBELLAR ATAXIA 34; SCA34		6q14.1		
#133540	COCKAYNE SYNDROME B; CSB		10q11.23		
#133700	EXOSTOSES, MULTIPLE, TYPE I; EXT1		8q24.11		
#133701	EXOSTOSES, MULTIPLE, TYPE II; EXT2		11p11.2		
#135700	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 1; CFEOM1	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3B, INCLUDED; CFEOM3B, INCLUDED	12q12		
#135900	COFFIN-SIRIS SYNDROME 1; CSS1		6q25.3		
#136630	MENTAL RETARDATION, FRA12A TYPE		12q13.12		
#137580	GILLES DE LA TOURETTE SYNDROME; GTS	CHRONIC MOTOR TICS, INCLUDED	11q23	11:110600000-121300000	
#142945	HOLOPROSENCEPHALY 3; HPE3		7q36.3		
#143095	SPONDYLOEPIPHYSEAL DYSPLASIA WITH CONGENITAL JOINT DISLOCATIONS; SEDCJD		10q22.1		
#143465	ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD		4p16.1, 5p13, 6q12, 11p15.5, 16p13, 17p11		
#144755	HYPEROSTOSIS CRANIALIS INTERNA; HCIN		8p21.3		
#145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS		1q23.3, 10q21.3, 17p12, 19q13.2		
#146510	PALLISTER-HALL SYNDROME; PHS		7p14.1		
#147791	JACOBSEN SYNDROME; JBS		11q23.3-q25	11:114600000-135086622	
#147920	KABUKI SYNDROME 1; KABUK1		12q13.12		
#147950	HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA; HH2		8p11.23		
#150230	TRICHORHINOPHALANGEAL SYNDROME, TYPE II; TRPS2		8q24.11-q24.13	8:116700000-126300000	
#151050	LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM; LMHD		8q22.1		
#151100	LEOPARD SYNDROME 1; LPRD1		12q24.13		
#152950	MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR		10q23.33		
#154020	HYPOMAGNESEMIA 2, RENAL; HOMG2		11q23.3		
#155755	MELANOMA-ASTROCYTOMA SYNDROME		9p21.3		
#156530	METATROPIC DYSPLASIA		12q24.11		
#156610	SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 1; CSCSC1		6p21.33		
#158170	CHROMOSOME 9p DELETION SYNDROME		9p		
#158350	COWDEN SYNDROME 1; CWS1	LHERMITTE-DUCLOS DISEASE, INCLUDED; LDD, INCLUDED	10q23.31		
#158590	NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIA; HMN2A		12q24.23		
#159550	ATAXIA-PANCYTOPENIA SYNDROME; ATXPC		7q21.2		
#159900	DYSTONIA 11, MYOCLONIC; DYT11		7q21.3		
#159950	SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY; SMAPME		8p22		
#160120	EPISODIC ATAXIA, TYPE 1; EA1	MYOKYMIA 1, INCLUDED	12p13.32		
#161200	NAIL-PATELLA SYNDROME; NPS		9q33.3		
#162300	MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIB; MEN2B	MUCOSAL NEUROMA SYNDROME, INCLUDED	10q11.21		
#162400	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A		9q22.31		
#163200	SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME; SFM		1p13.2, 11p15.5, 12p12.1		
#163950	NOONAN SYNDROME 1; NS1	PTERYGIUM COLLI SYNDROME, INCLUDED	12q24.13		
#164200	OCULODENTODIGITAL DYSPLASIA; ODDD		6q22.31		
#164310	OCULOPHARYNGODISTAL MYOPATHY 1; OPDM1		8q22.3		
#164400	SPINOCEREBELLAR ATAXIA 1; SCA1		6p22.3		
#165510	OPTIC ATROPHY 13 WITH RETINAL AND FOVEAL ABNORMALITIES; OPA13		7q34		
#166250	OSTEOGLOPHONIC DYSPLASIA; OGD		8p11.23		
#167320	INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 1; IBMPFD1		9p13.3		
#168000	PARAGANGLIOMAS 1; PGL1	PARAGANGLIOMAS WITH SENSORINEURAL HEARING LOSS, INCLUDED	11q23.1		
#168400	PARASTREMMATIC DWARFISM		12q24.11		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#169100	CHAR SYNDROME; CHAR		6p12.3		
#171300	PHEOCHROMOCYTOMA		1p36.22, 1p36.13, 2q11.2, 3p25.3, 5p13.2, 10q11.21, 11q23.1, 14q23.3		
#175700	GREIG CEPHALOPOLYSYNDACTYLY SYNDROME; GCPS		7p14.1		
#176000	PORPHYRIA, ACUTE INTERMITTENT; AIP	PORPHYRIA, ACUTE INTERMITTENT, NONERYTHROID VARIANT, INCLUDED	11q23.3		
#176200	VARIEGATE PORPHYRIA; VP	VARIEGATE PORPHYRIA, HOMOZYGOUS VARIANT, INCLUDED	1q23.3, 6p22.2		
#176450	CURRARINO SYNDROME	SACRAL AGENESIS SYNDROME, INCLUDED	7q36.3		
#180860	SILVER-RUSSELL SYNDROME 1; SRS1		11p15.5		
#181000	SARCOIDOSIS, SUSCEPTIBILITY TO, 1; SS1		6p21.32		
#181405	SCAPULOPERONEAL SPINAL MUSCULAR ATROPHY; SPSMA		12q24.11		
#181450	ULNAR-MAMMARY SYNDROME; UMS		12q24.21		
#181500	SCHIZOPHRENIA; SCZD		1p36.2, 1p36.22, 1q32.1, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 13q14.2, 13q32, 13q33.2, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3		
#182940	NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO; NTD	SPINA BIFIDA, INCLUDED	1p13.1, 1q23.2, 6q27, 17q12, 19q13.33		
#183090	SPINOCEREBELLAR ATAXIA 2; SCA2	AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 13, INCLUDED; ALS13, INCLUDED	12q24.12		
#183900	SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA; SEDC		12q13.11		
#184095	SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE		12q24.11		
#184250	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE; SEMDSTWK		12q13.11		
#185070	STORMORKEN SYNDROME; STRMK		11p15.4		
#185300	STURGE-WEBER SYNDROME; SWS		9q21.2		
#187300	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 1; HHT1		9q34.11		
#188025	THROMBOCYTOPENIA, PARIS-TROUSSEAU TYPE; TCPT		11q23	11:110600000-121300000	
#188050	THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	THROMBOSIS, PROTECTION AGAINST, INCLUDED	1p36.22, 6p25.1, 10q25.3, 11p11.2		
#190350	TRICHORHINOPHALANGEAL SYNDROME, TYPE I; TRPS1		8q23.3		
#190351	TRICHORHINOPHALANGEAL SYNDROME, TYPE III; TRPS3		8q23.3		
#190440	TRIGONOCEPHALY 1; TRIGNO1		8p11.23		
#191100	TUBEROUS SCLEROSIS 1; TSC1		9q34.13		
#193300	VON HIPPEL-LINDAU SYNDROME; VHLS	VON HIPPEL-LINDAU SYNDROME, MODIFIERS OF, INCLUDED	3p25.3, 11q13.3		
#194050	WILLIAMS-BEUREN SYNDROME; WBS		7q11.23	7:72700000-77900000	
#194072	WILMS TUMOR, ANIRIDIA, GENITOURINARY ANOMALIES, AND MENTAL RETARDATION SYNDROME; WAGR		11p13	11:31000000-36400000	
#200150	CHOREOACANTHOCYTOSIS; CHAC		9q21.2		
#201000	CARPENTER SYNDROME 1; CRPT1		6p12.1-p11.2		
#201100	ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE; AEZ		8q24.3		
#201300	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIA; HSAN2A		12p13.33		
#201470	ACYL-CoA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF; ACADSD		12q24.31		
#201750	ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1		7q11.23		
#202370	PEROXISOME BIOGENESIS DISORDER 2B; PBD2B		12p13.31		
#203750	ALPHA-METHYLACETOACETIC ACIDURIA		11q22.3		
#204500	CEROID LIPOFUSCINOSIS, NEURONAL, 2; CLN2	NEURONAL CEROID LIPOFUSCINOSIS, LATE INFANTILE, INCLUDED; LINCL, INCLUDED	11p15.4		
#204750	2-AMINOADIPIC 2-OXOADIPIC ACIDURIA; AMOXAD		10p14		
#205400	TANGIER DISEASE; TGD		9q31.1		
#207410	ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS; ABS2		10q26.13		
#207800	ARGININEMIA		6q23.2		
