Approved symbol,class,chr,classic_caf,max_af,exon_score
A1BG,noDisorder_0homko,19,0.0005361,0.00027872,0.0921370967741935
A1CF,noDisorder_0homko,10,0.00019361,0.000017122,0.908404315729699
A2M,PMT_Brain_1homko,12,0.00037722,0.000044273,0.508519774011299
A2ML1,PMT_noBrain_1homko,12,0.049865,0.04318,0.434158075601375
A3GALT2,training_validation_dispensable,1,0.0152,0.015068,0.527761485826002
A4GALT,confirmed_noBrain_0homko,22,0.00012497,0.00002393,0.614030131826742
A4GNT,training_validation_dispensable,3,0.0025529,0.0024892,0.626783968719453
AAAS,training_validation_brain_disease,12,0.00066878,0.000075591,0.826264472882389
AACS,noDisorder_0homko,12,0.00053066,0.000087566,0.847597820703319
AADAC,noDisorder_0homko,3,0.00019187,0.00012364,0.41675
AADACL2,noDisorder_0homko,3,0.000067936,0.00004797,0.493117744610282
AADACL3,noDisorder_0homko,1,0.000088558,0.000028049,0.327532679738562
AADACL4,training_validation_dispensable,1,0.00037168,0.0003079,0.230718954248366
AADAT,noDisorder_0homko,4,0.000053264,0.000016278,0.770892018779343
AAGAB,confirmed_noBrain_0homko,15,0.0001571,0.000020188,0.816244725738397
AAK1,noDisorder_0homko,2,0.00002464,0.000012527,0.90970200970201
AAMDC,training_validation_dispensable,11,0.00042614,0.00027483,0.897831978319783
AAMP,noDisorder_0homko,2,0.000032407,0.0000079558,0.908045977011494
AANAT,noDisorder_0homko,17,0.000044276,0.000016274,0.744070512820513
AAR2,noDisorder_0homko,20,0.00077615,0.00060889,0.869523809523809
AARD,noDisorder_0homko,8,0.00020529,0.00016782,0.259401709401709
AARS1,training_validation_brain_disease,16,0.00033129,0.000055776,0.890608875128999
AARS2,training_validation_brain_disease,6,0.00048046,0.000071693,0.718830290736984
AARSD1,noDisorder_0homko,17,0.00093504,0.00041754,0.840355125100888
AASDH,noDisorder_0homko,4,0.00091066,0.00018323,0.65368516833485
AASDHPPT,noDisorder_0homko,11,0.00018151,0.000031878,0.894516129032258
AASS,training_validation_brain_disease,7,0.00029977,0.000032046,0.856490471053578
AATF,noDisorder_0homko,17,,,0.804218657159834
AATK,noDisorder_0homko,17,0.000053633,0.0000085317,0.434666666666667
ABAT,training_validation_brain_disease,16,0.000072059,0.00001193,0.869860279441118
ABCA1,training_validation_brain_disease,9,0.00040598,0.000047762,0.888063660477454
ABCA2,training_validation_brain_disease,9,0.00013869,0.0000093253,0.816851319928874
ABCA3,confirmed_noBrain_0homko,16,0.00019976,0.000015912,0.801759530791789
ABCA4,confirmed_noBrain_0homko,1,0.00096039,0.000051709,0.779404866608033
ABCA5,PMT_noBrain_1homko,17,0.0009821,0.00016664,0.876141205112599
ABCA6,training_validation_dispensable,17,0.0020287,0.00078727,0.439616810877627
ABCA7,PMT_Brain_1homko,19,0.0062262,0.0012458,0.48141592920354
ABCA8,training_validation_dispensable,17,0.0078843,0.0055866,0.420221948212084
ABCA9,training_validation_dispensable,17,0.0036773,0.00087958,0.429764102564103
ABCA10,noDisorder_0homko,17,0.23115,0.08114,0.323769430051813
ABCA12,confirmed_noBrain_0homko,2,0.00079359,0.00011152,0.835824345146379
ABCA13,training_validation_dispensable,7,0.0067155,0.0024047,0.365217104829676
ABCB1,PMT_noBrain_0homko,7,0.00015529,0.000011951,0.710850897736144
ABCB4,confirmed_noBrain_0homko,7,0.00023212,0.000031825,0.748828125
ABCB5,noDisorder_0homko,7,0.096772,0.092831,0.644965553789083
ABCB6,confirmed_noBrain_0homko,2,0.0013997,0.00024672,0.819493871095295
ABCB7,confirmed_Brain_1homko,X,0.010531,0.010531,0.890659583886676
ABCB8,noDisorder_0homko,7,0.00046008,0.000064386,0.695178488641632
ABCB9,noDisorder_0homko,12,0.00014938,0.000016088,0.816297262059974
ABCB10,noDisorder_0homko,1,0.00021112,0.000031867,0.655570590888588
ABCB11,confirmed_noBrain_0homko,2,0.00031025,0.00004023,0.835980837115481
ABCC1,PMT_noBrain_0homko,16,0.00022535,0.000016243,0.754003481288077
ABCC2,confirmed_noBrain_1homko,10,0.0022265,0.0007967,0.689478223372143
ABCC3,noDisorder_0homko,17,0.0019577,0.00074371,0.739834205933682
ABCC4,noDisorder_0homko,13,0.00058357,0.00025282,0.798592257415787
ABCC5,noDisorder_0homko,3,0.00012456,0.0000079875,0.901344459898006
ABCC6,training_validation_brain_disease,16,0.0028323,0.0014127,0.691932624113475
ABCC8,training_validation_brain_disease,11,0.00046979,0.000060784,0.900505689001264
ABCC9,training_validation_brain_disease,12,0.00055201,0.00012425,0.885698924731183
ABCC10,training_validation_dispensable,6,0.00087382,0.00015513,0.765706630944407
ABCC11,PMT_noBrain_1homko,16,0.014172,0.010986,0.45355507351169
ABCC12,training_validation_dispensable,16,0.035321,0.022102,0.69843137254902
ABCD1,training_validation_brain_disease,X,0.000012982,0.0000067762,0.768364611260054
ABCD2,noDisorder_0homko,12,0.00013342,0.000027907,0.903778677462888
ABCD3,PMT_noBrain_0homko,1,0.0001291,0.000019903,0.946868686868687
ABCD4,training_validation_brain_disease,14,0.00030359,0.000031844,0.853596924766612
ABCE1,noDisorder_0homko,4,0.00005923,0.000026976,0.979666666666667
ABCF1,noDisorder_0homko,6,0.00034419,0.000055677,0.866115051221434
ABCF2,noDisorder_0homko,7,0.000063755,0.00001591,0.935042735042735
ABCF3,noDisorder_0homko,3,0.00012861,0.000027842,0.903568075117371
ABCG1,noDisorder_0homko,21,0.000092384,0.000028204,0.840529735132434
ABCG2,PMT_noBrain_1homko,4,0.0019563,0.0003955,0.723932926829268
ABCG4,noDisorder_0homko,11,0.00021535,0.000031813,0.895414734672849
ABCG5,confirmed_noBrain_0homko,2,0.0005539,0.00017949,0.731952965235174
ABCG8,confirmed_noBrain_0homko,2,0.0015569,0.00092718,0.730563798219585
