HGNC ID,Approved symbol,Approved name,Status,Previous symbols,Alias symbols,Chromosome,Locus type,Locus group,Ensembl gene ID,NCBI Gene ID(supplied by NCBI),Ensembl ID(supplied by Ensembl),UniProt ID(supplied by UniProt),Mouse genome database ID(supplied by MGI),Rat genome database ID(supplied by RGD),chr,MIM_Number,morbid,phen,phen_MIM_number,inheritance,phen_additional,phen_MIM_number_additional,inheritance_additional,ClinicalSynopsis,Neurologic_ClinicalSynopsis,intellectual_disability,seizures,motor_development,language_development,spasticity,ataxia,gene_category,pseudoautosomal,f_m_misc_OMIM,monogenic_disorder,Function [CC],Gene ontology (biological process),Gene ontology (molecular function),Subcellular location [CC],Subunit structure [CC],Chromosome/scaffold name,Gene start (bp),Gene end (bp),Karyotype band,pLI,LOEUF,syn_z,mis_z,exp_lof,CpG_density,transcript_ID,exon_score,promoter_score,CDS_length,number_paralogues_90_perc,paralogues_90_perc,paralogues_90_logic,number_paralogues_95_perc,paralogues_95_perc,paralogues_95_logic,tau,max_expression_log2,max_tissue,tissue_specificity,Other_Brain_tissues,Cerebellar_tissues,brain_high,XCI,BS_Pre_Post,BS_Pre_Post1,BS_Pre_Post2,BS_Post1_Post2,gene_group
HGNC:10274,RP2,RP2 activator of ARL3 GTPase,Approved,,"TBCCD2, NME10, NM23-H10",Xp11.3,gene with protein product,protein-coding gene,ENSG00000102218,6102,ENSG00000102218,O75695,MGI:1277953,RGD:1565124,X,300757,TRUE,Retinitis pigmentosa 2,312600,X-linked,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,confirmed +CS,FALSE,TRUE,confirmed,"FUNCTION: Acts as a GTPase-activating protein (GAP) involved in trafficking between the Golgi and the ciliary membrane. Involved in localization of proteins, such as NPHP3, to the cilium membrane by inducing hydrolysis of GTP ARL3, leading to the release of UNC119 (or UNC119B). Acts as a GTPase-activating protein (GAP) for tubulin in concert with tubulin-specific chaperone C, but does not enhance tubulin heterodimerization. Acts as guanine nucleotide dissociation inhibitor towards ADP-ribosylation factor-like proteins. {ECO:0000269|PubMed:11847227, ECO:0000269|PubMed:18376416, ECO:0000269|PubMed:20106869, ECO:0000269|PubMed:22085962}.",cell morphogenesis [GO:0000902]; post-Golgi vesicle-mediated transport [GO:0006892]; protein folding [GO:0006457]; protein transport [GO:0015031]; visual perception [GO:0007601],GTPase activator activity [GO:0005096]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; unfolded protein binding [GO:0051082],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10942419, ECO:0000269|PubMed:12417528}; Lipid-anchor {ECO:0000269|PubMed:10942419}; Cytoplasmic side {ECO:0000269|PubMed:10942419}. Cell projection, cilium {ECO:0000269|PubMed:20106869}. Note=Detected predominantly at the plasma membrane of rod and cone photoreceptors. Not detected in the nucleus. {ECO:0000269|PubMed:12417528}.","SUBUNIT: Found in a complex with ARL3, RP2 and UNC119 (or UNC119B); RP2 induces hydrolysis of GTP ARL3 in the complex, leading to the release of UNC119 (or UNC119B). Interacts with ARL3; interaction is direct and stimulated with the activated GTP-bound form of ARL3. {ECO:0000269|PubMed:11847227, ECO:0000269|PubMed:16472755, ECO:0000269|PubMed:18376416, ECO:0000269|PubMed:18588884}.",X,46837043,46882358,p11.3,0.95597,0.306,0.93152,0.63317,9.7865,0.6268241562359209,ENST00000218340,0.9282051282051282,0.15396150962259436,1053,,,,,,,0.3494398624608468,4.332929869652255,Cells - Cultured fibroblasts,broadly expressed,1.5950500616411951,1.9528087945959831,FALSE,high confidence non-escapee,Pre_higher_vs_Post,Pre_higher_vs_Post1,Pre_higher_vs_Post2,no difference_Post1_Post2,confirmed monogenic disorder
HGNC:10295,RPGR,retinitis pigmentosa GTPase regulator,Approved,"CRD, RP3, RP15, COD1",CORDX1,Xp11.4,gene with protein product,protein-coding gene,ENSG00000156313,6103,ENSG00000156313,Q92834,MGI:1344037,RGD:1560136,X,312610,TRUE,"Cone-rod dystrophy, X-linked, 1 // Macular degeneration, X-linked atrophic // Retinitis pigmentosa 3 // Retinitis pigmentosa, X-linked, and sinorespiratory infections, with or without deafness",304020 // 300834 // 300029 // 300455,X-linked // X-linked recessive //  //,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,confirmed +CS,FALSE,,confirmed,"FUNCTION: Could be a guanine-nucleotide releasing factor. Plays a role in ciliogenesis. Probably regulates cilia formation by regulating actin stress filaments and cell contractility. Plays an important role in photoreceptor integrity. May play a critical role in spermatogenesis and in intraflagellar transport processes (By similarity). May be involved in microtubule organization and regulation of transport in primary cilia. {ECO:0000250, ECO:0000269|PubMed:21933838}.",cilium assembly [GO:0060271]; intracellular protein transport [GO:0006886]; intraciliary transport [GO:0042073]; response to stimulus [GO:0050896]; visual perception [GO:0007601],guanyl-nucleotide exchange factor activity [GO:0005085]; RNA binding [GO:0003723],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:Q9R0X5}. Golgi apparatus {ECO:0000269|PubMed:15772089}. Cell projection, cilium {ECO:0000250|UniProtKB:Q9R0X5}. Note=In the retinal photoreceptor cell layer, localizes at the connecting cilium (By similarity). Colocalizes with WHRN in the photoreceptor connecting cilium (By similarity). Colocalizes with CEP290 in the photoreceptor connecting cilium (By similarity). Colocalizes with RPGRIP1 in the photoreceptor connecting cilium (By similarity). {ECO:0000250|UniProtKB:Q9R0X5}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, cilium basal body. Cytoplasm, cytoskeleton, cilium axoneme.","SUBUNIT: Interacts with SPATA7 (By similarity). Interacts with CEP290 (By similarity). Interacts with WHRN (By similarity). Interacts with PDE6D (PubMed:9990021, PubMed:23559067, PubMed:24981858). Interacts with RPGRIP1 (PubMed:10958648, PubMed:24981858). Interacts with RPGRIP1L (PubMed:19430481, PubMed:24981858). PDE6D, RPGRIP1 and RPGRIP1L may compete for the same binding sites (PubMed:24981858). Isoform 6 interacts with NPM1 (via C-terminus) (PubMed:15772089). Isoform 6 interacts with SMC1A and SMC3 (PubMed:16043481). {ECO:0000250|UniProtKB:Q9R0X5, ECO:0000269|PubMed:10958648, ECO:0000269|PubMed:15772089, ECO:0000269|PubMed:16043481, ECO:0000269|PubMed:19430481, ECO:0000269|PubMed:23559067, ECO:0000269|PubMed:24981858, ECO:0000269|PubMed:9990021}.",X,38269163,38327544,p11.4,0.99804,0.21,-1.4812,1.246,22.631,0.5135721671154743,ENST00000642395,0.5029820261437908,0.05791052236940765,2448,,,,,,,0.3729476633212499,4.386079758945703,Pituitary,broadly expressed,1.8791842632320697,2.800127495519908,FALSE,high confidence non-escapee,Post_higher_vs_Pre,no difference_Pre_Post1,Post2_higher_vs_Pre,Post2_higher_vs_Post1,confirmed monogenic disorder
HGNC:10298,RPL10,ribosomal protein L10,Approved,,"NOV, QM, DXS648E, DXS648, FLJ23544, L10",Xq28,gene with protein product,protein-coding gene,ENSG00000147403,6134,ENSG00000147403,P27635,MGI:105943,RGD:621178,X,312173,TRUE,"Mental retardation, X-linked, syndromic, 35",300998,X-linked recessive,"{Autism, susceptibility to, X-linked 5}",300847,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,confirmed +CS,FALSE,,confirmed,"FUNCTION: Component of the large ribosomal subunit (PubMed:26290468). Plays a role in the formation of actively translating ribosomes (PubMed:26290468). May play a role in the embryonic brain development (PubMed:25316788). {ECO:0000269|PubMed:25316788, ECO:0000269|PubMed:26290468, ECO:0000305|PubMed:12962325}.","embryonic brain development [GO:1990403]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of translation [GO:0006417]; ribosomal large subunit assembly [GO:0000027]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation regulator activity [GO:0045182],"","SUBUNIT: Component of the large ribosomal subunit. Mature ribosomes consist of a small (40S) and a large (60S) subunit. The 40S subunit contains about 33 different proteins and 1 molecule of RNA (18S). The 60S subunit contains about 49 different proteins and 3 molecules of RNA (28S, 5.8S and 5S). {ECO:0000305|PubMed:12962325}.",X,154389955,154409168,q28,0.90915,0.387,-1.078,2.6137,7.7277,0.6831521216203214,ENST00000369817,0.9410852713178295,0.14968757810547365,645,1,"RPL10L (96, 96, chr14)",TRUE,1,"RPL10L (96, 96, chr14)",TRUE,0.13493108272033372,12.525317701704385,Ovary,broadly expressed,8.807271191790713,9.39491601120085,FALSE,low confidence non-escapee,Pre_higher_vs_Post,Pre_higher_vs_Post1,Pre_higher_vs_Post2,no difference_Post1_Post2,confirmed monogenic disorder
HGNC:10350,RPL39,ribosomal protein L39,Approved,RPL39P42,L39,Xq24,gene with protein product,protein-coding gene,ENSG00000198918,6170,ENSG00000198918,P62891,MGI:1914498,RGD:3593,X,300899,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no disorder,FALSE,,no disorder,"","antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cytoplasmic translation [GO:0002181]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response in mucosa [GO:0002227]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],"",SUBUNIT: Interacts with IMPACT. {ECO:0000250|UniProtKB:P62892}.,X,119786504,119791630,q24,0.57637,1.098,0.18398,1.3311,2.6438,0.6140950158513275,ENST00000361575,0.9756410256410256,0.05713571607098226,156,1,"RPL39L (92, 92, chr3)",TRUE,1,"RPL39L (92, 92, chr3)",TRUE,0.1926275732902649,8.109203827066983,Ovary,broadly expressed,4.816901729593972,4.98371873158398,FALSE,high confidence non-escapee,Pre_higher_vs_Post,Pre_higher_vs_Post1,Pre_higher_vs_Post2,Post1_higher_vs_Post2,no disorder
HGNC:10359,RPL36A,ribosomal protein L36a,Approved,RPL44,L36A,Xq22.1,gene with protein product,protein-coding gene,ENSG00000241343,6173,ENSG00000241343,P83881,MGI:1201789,RGD:1306640,X,300902,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no disorder,FALSE,,no disorder,"","cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],SUBCELLULAR LOCATION: Cytoplasm.,"",X,101390824,101396155,q22.1,0.42737000000000003,0.891,-1.6747,0.7418,5.3197,0.47602167417835617,ENST00000553110,0.9763239875389408,0.10497375656085979,321,2,"RPL36AL (74, 99, chr14); RPL36A-HNRNPH2 (70, 85, chrX)",TRUE,,,,0.18454126405146937,10.166702893625626,Ovary,broadly expressed,7.05760189882958,7.442582776996771,FALSE,low confidence non-escapee,Pre_higher_vs_Post,Pre_higher_vs_Post1,Pre_higher_vs_Post2,no difference_Post1_Post2,no disorder
HGNC:1036,BEX1,brain expressed X-linked 1,Approved,,,Xq22.1,gene with protein product,protein-coding gene,ENSG00000133169,55859,ENSG00000133169,Q9HBH7,MGI:1338017,,X,300690,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no disorder,FALSE,,no disorder,"FUNCTION: Signaling adapter molecule involved in p75NTR/NGFR signaling. Plays a role in cell cycle progression and neuronal differentiation. Inhibits neuronal differentiation in response to nerve growth factor (NGF). May act as a link between the cell cycle and neurotrophic factor signaling, possibly by functioning as an upstream modulator of receptor signaling, coordinating biological responses to external signals with internal cellular states (By similarity). {ECO:0000250}.",cell differentiation [GO:0030154]; nervous system development [GO:0007399]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription by RNA polymerase II [GO:0045944]; signal transduction [GO:0007165],RNA polymerase II activating transcription factor binding [GO:0001102]; signaling receptor binding [GO:0005102],SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Shuttles between the cytoplasm and the nucleus. {ECO:0000250}.,SUBUNIT: Interacts with neurotrophin receptor p75NTR/NGFR. Interacts with OMP (By similarity). {ECO:0000250}.,X,103062651,103064171,q22.1,0.54273,1.216,-0.91539,0.37397,2.326,0.4384328358208955,ENST00000372728,0.37037037037037035,0.12941764558860286,378,1,"BEX2 (91, 71, chrX)",TRUE,,,,0.6727400143162398,9.41790524400419,Pituitary,tissue-specific,8.349657198462403,8.880547786853105,FALSE,low confidence non-escapee,Post_higher_vs_Pre,no difference_Pre_Post1,Post2_higher_vs_Pre,Post2_higher_vs_Post1,no disorder
HGNC:10424,RPS4X,ribosomal protein S4 X-linked,Approved,,"DXS306, CCG2, SCAR, SCR10, FLJ40595, RPS4, S4",Xq13.1,gene with protein product,protein-coding gene,ENSG00000198034,6191,ENSG00000198034,P62701,MGI:98158,RGD:2324318,X,312760,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no disorder,FALSE,,no disorder,"","multicellular organism development [GO:0007275]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of translation [GO:0045727]; response to ethanol [GO:0045471]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]",RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17289661}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs.,SUBUNIT: Identified in a IGF2BP1-dependent mRNP granule complex containing untranslated mRNAs. {ECO:0000269|PubMed:17289661}.,X,72255679,72277248,q13.1,0.93222,0.349,0.68758,2.2887,8.5713,0.5271400907465131,ENST00000316084,0.9641414141414142,0.11972006998250437,792,2,"RPS4Y1 (93, 93, chrY); RPS4Y2 (92, 92, chrY)",TRUE,2,"RPS4Y1 (93, 93, chrY); RPS4Y2 (92, 92, chrY)",TRUE,0.1657030856638001,11.142400673315565,Ovary,broadly expressed,7.673436288621513,8.211559818992106,FALSE,high confidence escapee,Pre_higher_vs_Post,Pre_higher_vs_Post1,Pre_higher_vs_Post2,no difference_Post1_Post2,no disorder
HGNC:10432,RPS6KA3,ribosomal protein S6 kinase A3,Approved,"MRX19, CLS","RSK2, HU-3",Xp22.12,gene with protein product,protein-coding gene,ENSG00000177189,6197,ENSG00000177189,P51812,MGI:104557,RGD:1563860,X,300075,TRUE,"Coffin-Lowry syndrome // Mental retardation, X-linked 19",303600 // 300844,X-linked dominant // X-linked dominant,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,confirmed +CS,FALSE,,confirmed,"FUNCTION: Serine/threonine-protein kinase that acts downstream of ERK (MAPK1/ERK2 and MAPK3/ERK1) signaling and mediates mitogenic and stress-induced activation of the transcription factors CREB1, ETV1/ER81 and NR4A1/NUR77, regulates translation through RPS6 and EIF4B phosphorylation, and mediates cellular proliferation, survival, and differentiation by modulating mTOR signaling and repressing pro-apoptotic function of BAD and DAPK1 (PubMed:9770464, PubMed:16223362, PubMed:17360704, PubMed:16213824). In fibroblast, is required for EGF-stimulated phosphorylation of CREB1 and histone H3 at 'Ser-10', which results in the subsequent transcriptional activation of several immediate-early genes (PubMed:9770464, PubMed:10436156). In response to mitogenic stimulation (EGF and PMA), phosphorylates and activates NR4A1/NUR77 and ETV1/ER81 transcription factors and the cofactor CREBBP (PubMed:16223362). Upon insulin-derived signal, acts indirectly on the transcription regulation of several genes by phosphorylating GSK3B at 'Ser-9' and inhibiting its activity (PubMed:8250835). Phosphorylates RPS6 in response to serum or EGF via an mTOR-independent mechanism and promotes translation initiation by facilitating assembly of the preinitiation complex (PubMed:17360704). In response to insulin, phosphorylates EIF4B, enhancing EIF4B affinity for the EIF3 complex and stimulating cap-dependent translation (PubMed:18508509, PubMed:18813292). Is involved in the mTOR nutrient-sensing pathway by directly phosphorylating TSC2 at 'Ser-1798', which potently inhibits TSC2 ability to suppress mTOR signaling, and mediates phosphorylation of RPTOR, which regulates mTORC1 activity and may promote rapamycin-sensitive signaling independently of the PI3K/AKT pathway (PubMed:18722121). Mediates cell survival by phosphorylating the pro-apoptotic proteins BAD and DAPK1 and suppressing their pro-apoptotic function (PubMed:16213824). Promotes the survival of hepatic stellate cells by phosphorylating CEBPB in response to the hepatotoxin carbon tetrachloride (CCl4) (PubMed:18508509, PubMed:18813292). Is involved in cell cycle regulation by phosphorylating the CDK inhibitor CDKN1B, which promotes CDKN1B association with 14-3-3 proteins and prevents its translocation to the nucleus and inhibition of G1 progression (By similarity). In LPS-stimulated dendritic cells, is involved in TLR4-induced macropinocytosis, and in myeloma cells, acts as effector of FGFR3-mediated transformation signaling, after direct phosphorylation at Tyr-529 by FGFR3 (By similarity). Negatively regulates EGF-induced MAPK1/3 phosphorylation via phosphorylation of SOS1 (By similarity). Phosphorylates SOS1 at 'Ser-1134' and 'Ser-1161' that create YWHAB and YWHAE binding sites and which contribute to the negative regulation of MAPK1/3 phosphorylation (By similarity). Phosphorylates EPHA2 at 'Ser-897', the RPS6KA-EPHA2 signaling pathway controls cell migration (PubMed:26158630). Acts as a regulator of osteoblast differentiation by mediating phosphorylation of ATF4, thereby promoting ATF4 transactivation activity (By similarity). {ECO:0000250|UniProtKB:P18654, ECO:0000269|PubMed:10436156, ECO:0000269|PubMed:16213824, ECO:0000269|PubMed:16223362, ECO:0000269|PubMed:17360704, ECO:0000269|PubMed:18722121, ECO:0000269|PubMed:26158630, ECO:0000269|PubMed:8250835, ECO:0000269|PubMed:9770464, ECO:0000303|PubMed:18508509, ECO:0000303|PubMed:18813292}.",cell cycle [GO:0007049]; central nervous system development [GO:0007417]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell growth [GO:0030307]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription in response to stress [GO:0043620]; regulation of translation in response to stress [GO:0043555]; response to lipopolysaccharide [GO:0032496]; signal transduction [GO:0007165]; skeletal system development [GO:0001501]; toll-like receptor signaling pathway [GO:0002224],ATP binding [GO:0005524]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; ribosomal protein S6 kinase activity [GO:0004711],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17213202}. Cytoplasm {ECO:0000269|PubMed:17213202}.,"SUBUNIT: Forms a complex with either MAPK1/ERK2 or MAPK3/ERK1 in quiescent cells. Transiently dissociates following mitogenic stimulation (By similarity). Interacts with NFATC4, ETV1/ER81 and FGFR1. {ECO:0000250, ECO:0000269|PubMed:17213202}.",X,20149911,20267519,p22.12,0.99999,0.087,1.4109,4.5208,34.136,0.7641600765791735,ENST00000379565,0.9677013045434099,0.4246188452886778,2223,3,"RPS6KA2 (81, 79, chr6); RPS6KA1 (79, 79, chr1); RPS6KA6 (78, 77, chrX)",TRUE,,,,0.20603918340969374,5.263669202254487,Lung,broadly expressed,2.886222357869,4.368998770844892,FALSE,low confidence non-escapee,Post_higher_vs_Pre,no difference_Pre_Post1,Post2_higher_vs_Pre,Post2_higher_vs_Post1,confirmed monogenic disorder
HGNC:10435,RPS6KA6,ribosomal protein S6 kinase A6,Approved,,RSK4,Xq21.1,gene with protein product,protein-coding gene,ENSG00000072133,27330,ENSG00000072133,Q9UK32,MGI:1914321,RGD:1560817,X,300303,FALSE,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no disorder,FALSE,,no disorder,"FUNCTION: Constitutively active serine/threonine-protein kinase that exhibits growth-factor-independent kinase activity and that may participate in p53/TP53-dependent cell growth arrest signaling and play an inhibitory role during embryogenesis. {ECO:0000269|PubMed:15042092, ECO:0000269|PubMed:15632195}.","central nervous system development [GO:0007417]; DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator [GO:0006978]; negative regulation of embryonic development [GO:0045992]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of mesoderm development [GO:2000381]; signal transduction [GO:0007165]",ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein kinase activity [GO:0004672]; ribosomal protein S6 kinase activity [GO:0004711],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:15632195}. Nucleus {ECO:0000269|PubMed:15632195}. Note=Predominantly cytosolic.",SUBUNIT: Forms a complex with MAPK3/ERK1 but not with MAPK9 or MAPK14 in serum-starved cells.,X,84058346,84188199,q21.1,0.9865,0.295,0.58386,1.8679,26.254,0.6402403115836183,ENST00000262752,0.9529490616621984,0.15103724068982755,2238,3,"RPS6KA3 (77, 78, chrX); RPS6KA2 (74, 72, chr6); RPS6KA1 (71, 72, chr1)",TRUE,,,,0.5612815886084437,3.5922895852244787,Pituitary,broadly expressed,1.683579686714104,2.900082348136222,FALSE,high confidence non-escapee,Pre_higher_vs_Post,Pre_higher_vs_Post1,Pre_higher_vs_Post2,no difference_Post1_Post2,no disorder
HGNC:1044,BGN,biglycan,Approved,,"DSPG1, SLRR1A",Xq28,gene with protein product,protein-coding gene,ENSG00000182492,633,ENSG00000182492,P21810,MGI:88158,RGD:2207,X,301870,TRUE,"Meester-Loeys syndrome // Spondyloepimetaphyseal dysplasia, X-linked",300989 // 300106,X-linked // X-linked recessive,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,confirmed +CS,FALSE,,confirmed,FUNCTION: May be involved in collagen fiber assembly. {ECO:0000250}.,blood vessel remodeling [GO:0001974]; chondroitin sulfate biosynthetic process [GO:0030206]; chondroitin sulfate catabolic process [GO:0030207]; dermatan sulfate biosynthetic process [GO:0030208]; extracellular matrix organization [GO:0030198]; peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan [GO:0019800],extracellular matrix binding [GO:0050840]; extracellular matrix structural constituent [GO:0005201]; extracellular matrix structural constituent conferring compression resistance [GO:0030021]; glycosaminoglycan binding [GO:0005539],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",SUBUNIT: Homodimer. Forms a ternary complex with MFAP2 and ELN (By similarity). {ECO:0000250}.,X,153494980,153509546,q28,0.45229,0.637,-0.82633,0.71353,9.8846,0.32559441161591696,ENST00000331595,0.4772357723577236,0.02751812046988253,1107,1,"DCN (54, 55, chr12)",TRUE,,,,0.4256082977979501,12.995715927935928,Artery - Aorta,broadly expressed,5.004254180316652,4.19548934087175,FALSE,low confidence non-escapee,Pre_higher_vs_Post,Post1_higher_vs_Pre,Pre_higher_vs_Post2,no difference_Post1_Post2,confirmed monogenic disorder
