[ 0.          0.          0.         -0.00906335  0.          0.
 -0.00424759  0.03464553  0.         -0.00715797  0.         -0.00633435
 -0.00528704  0.          0.          0.          0.00517029  0.
  0.037678    0.02276647  0.          0.0054065   0.00666362  0.01365323
  0.0019166   0.          0.02061293  0.01553414  0.          0.00583744
  0.00901348  0.01462547  0.00521451  0.01048987  0.03603882  0.00060982
  0.          0.04792037  0.001624    0.00240531  0.00710329  0.
  0.          0.          0.          0.          0.00134198  0.
  0.          0.00415248  0.          0.          0.          0.
  0.00258739  0.00358495  0.          0.          0.          0.
  0.00724782  0.          0.01528255  0.0217494  -0.01883836  0.0042922
  0.00654611  0.00624476  0.00459025  0.          0.00619089  0.00354047
  0.0082218   0.          0.          0.00058512  0.          0.
  0.00437732  0.          0.00129635  0.          0.        ]
