[-0.00454398  0.          0.00124489 -0.0044223   0.00059684 -0.00126473
 -0.01135365  0.04689104 -0.00298945 -0.00486752 -0.0024157  -0.0225871
 -0.00700892  0.00579093  0.         -0.0038114   0.00821722 -0.00419334
 -0.00129833  0.03291849  0.0022586   0.01575602  0.01378761  0.01537924
  0.          0.          0.01877992  0.00849915  0.00454526  0.0107636
  0.01572289  0.00752929  0.00501134  0.0167741   0.04559454  0.00216516
  0.          0.08673145  0.0083463   0.00285172  0.01078365  0.00241187
  0.00338662  0.          0.00090007  0.         -0.00131779 -0.00217169
  0.          0.00208828 -0.00335294  0.00263956  0.         -0.0011985
  0.00380883 -0.00412784 -0.00361182  0.         -0.00149029  0.00306177
 -0.00981868  0.00130403 -0.00588175 -0.01464704  0.01039988  0.00097081
  0.          0.00565056  0.00024829  0.          0.00039581 -0.00248327
 -0.01660631  0.00255818 -0.00279176  0.00172599  0.         -0.00206863
  0.00067349  0.00015447  0.         -0.00290203  0.        ]
