[-0.00589402 -0.03157516 -0.00861683 -0.02615096  0.         -0.02263834
 -0.04505286  0.11881024 -0.0146638  -0.03191921 -0.00863197 -0.06008438
 -0.04375726  0.00956887  0.         -0.03752702  0.02789475 -0.0160253
 -0.04943836  0.02240143 -0.0054194   0.01026505 -0.06653383 -0.11235292
  0.00576242 -0.0343391   0.04990495  0.04091617  0.05388369 -0.01219448
 -0.02465996  0.03900889  0.04625386  0.00512227  0.02999968  0.0308334
  0.03349094 -0.14181677  0.00494353  0.00663483 -0.0178117   0.
  0.         -0.00922616 -0.0203339   0.          0.         -0.00618291
 -0.00543373 -0.00204621  0.         -0.00646439 -0.00431363 -0.00657439
  0.          0.0099808   0.         -0.00967135  0.          0.00737047
 -0.01546766  0.         -0.02583212 -0.03337771 -0.06039819  0.
 -0.00338377 -0.00804485 -0.00190513 -0.01097753  0.         -0.01313809
 -0.01514334  0.          0.0109084   0.         -0.00585816  0.00710735
  0.          0.          0.          0.00604864  0.00284443]
